t,V
0.1309,0.012
0.131,0.012
0.1311,0.008
0.1312,0.012
0.1313,0.012
0.1314,0.012
0.1315,0.012
0.1316,0.008
0.1317,0.012
0.1318,0.012
0.1319,0.016
0.132,0.012
0.1321,0.012
0.1322,0.016
0.1323,0.012
0.1324,0.012
0.1325,0.012
0.1326,0.008
0.1327,0.012
0.1328,0.012
0.1329,0.012
0.133,0.012
0.1331,0.012
0.1332,0.012
0.1333,0.016
0.1334,0.016
0.1335,0.016
0.1336,0.012
0.1337,0.012
0.1338,0.016
0.1339,0.012
0.134,0.012
0.1341,0.012
0.1342,0.016
0.1343,0.012
0.1344,0.016
0.1345,0.012
0.1346,0.016
0.1347,0.012
0.1348,0.012
0.1349,0.012
0.135,0.016
0.1351,0.012
0.1352,0.016
0.1353,0.016
0.1354,0.016
0.1355,0.016
0.1356,0.02
0.1357,0.016
0.1358,0.016
0.1359,0.02
0.136,0.02
0.1361,0.02
0.1362,0.02
0.1363,0.02
0.1364,0.02
0.1365,0.02
0.1366,0.02
0.1367,0.024
0.1368,0.02
0.1369,0.024
0.137,0.024
0.1371,0.024
0.1372,0.024
0.1373,0.024
0.1374,0
0.1375,0
0.1376,0
0.1377,0
0.1378,0
0.1379,0
0.138,0
0.1381,0
0.1382,0
0.1383,0
0.1384,0.068
0.1385,0.068
0.1386,0.068
0.1387,0.084
0.1388,0.124
0.1389,0.132
0.139,0.128
0.1391,0.128
0.1392,0.192
0.1393,0.224
0.1394,0.204
0.1395,0.256
0.1396,0.352
0.1397,0.436
0.1398,0.428
0.1399,0.46
0.14,0.548
0.1401,0.64
0.1402,0.684
0.1403,0.672
0.1404,0.664
0.1405,0.664
0.1406,0.668
0.1407,0.668
0.1408,0.664
0.1409,0.62
0.141,0.5
0.1411,0.492
0.1412,0.496
0.1413,0.492
0.1414,0.488
0.1415,0.48
0.1416,0.48
0.1417,0.456
0.1418,0.448
0.1419,0.436
0.142,0.432
0.1421,0.424
0.1422,0.412
0.1423,0.392
0.1424,0.372
0.1425,0.368
0.1426,0.364
0.1427,0.352
0.1428,0.336
0.1429,0.336
0.143,0.336
0.1431,0.336
0.1432,0.356
0.1433,0.36
0.1434,0.356
0.1435,0.364
0.1436,0.372
0.1437,0.376
0.1438,0.376
0.1439,0.376
0.144,0.376
0.1441,0.38
0.1442,0.376
0.1443,0.376
0.1444,0.372
0.1445,0.364
