t,V
-0.098,0.012
-0.0979,0.012
-0.0978,0.008
-0.0977,0.012
-0.0976,0.012
-0.0975,0.012
-0.0974,0.008
-0.0973,0.012
-0.0972,0.016
-0.0971,0.008
-0.097,0.012
-0.0969,0.012
-0.0968,0.012
-0.0967,0.012
-0.0966,0.012
-0.0965,0.012
-0.0964,0.012
-0.0963,0.012
-0.0962,0.012
-0.0961,0.012
-0.096,0.012
-0.0959,0.008
-0.0958,0.012
-0.0957,0.012
-0.0956,0.008
-0.0955,0.012
-0.0954,0.012
-0.0953,0.008
-0.0952,0.012
-0.0951,0.012
-0.095,0.008
-0.0949,0.012
-0.0948,0.008
-0.0947,0.008
-0.0946,0.016
-0.0945,0.012
-0.0944,0.012
-0.0943,0.012
-0.0942,0.008
-0.0941,0.008
-0.094,0.012
-0.0939,0.008
-0.0938,0.008
-0.0937,0.008
-0.0936,0.008
-0.0935,0.012
-0.0934,0.012
-0.0933,0.012
-0.0932,0.008
-0.0931,0.012
-0.093,0.012
-0.0929,0.008
-0.0928,0.012
-0.0927,0.012
-0.0926,0.012
-0.0925,0.012
-0.0924,0.012
-0.0923,0.012
-0.0922,0.008
-0.0921,0.012
-0.092,0.012
-0.0919,0.012
-0.0918,0.012
-0.0917,0.008
-0.0916,0.012
-0.0915,0.012
-0.0914,0.012
-0.0913,0.012
-0.0912,0.012
-0.0911,0.012
-0.091,0.012
-0.0909,0.012
-0.0908,0.012
-0.0907,0.012
-0.0906,0.012
-0.0905,0.012
-0.0904,-0.004
-0.0903,0
-0.0902,0.004
-0.0901,0
-0.09,-0.004
-0.0899,0
-0.0898,0
-0.0897,0
-0.0896,0
-0.0895,0
-0.0894,0.008
-0.0893,0.008
-0.0892,0.012
-0.0891,0.008
-0.089,0.012
-0.0889,0.012
-0.0888,0.016
-0.0887,0.012
-0.0886,0.012
-0.0885,0.008
-0.0884,0.012
-0.0883,0.008
-0.0882,0.012
-0.0881,0.012
-0.088,0.008
-0.0879,0.012
-0.0878,0.012
-0.0877,0.008
-0.0876,0.008
-0.0875,0.012
-0.0874,0.012
-0.0873,0.012
-0.0872,0.012
-0.0871,0.008
-0.087,0.012
-0.0869,0.012
-0.0868,0.012
-0.0867,0.012
-0.0866,0.012
-0.0865,0.012
-0.0864,0.008
-0.0863,0.012
-0.0862,0.012
-0.0861,0.012
-0.086,0.012
-0.0859,0.012
-0.0858,0.012
-0.0857,0.012
-0.0856,0.012
-0.0855,0.012
-0.0854,0.012
-0.0853,0.008
-0.0852,0.012
-0.0851,0.012
-0.085,0.012
-0.0849,0.012
-0.0848,0.012
-0.0847,0.012
-0.0846,0.008
-0.0845,0.008
-0.0844,0.012
-0.0843,0.012
-0.0842,0.016
-0.0841,0.012
-0.084,0.012
-0.0839,0.008
-0.0838,0.012
-0.0837,0.012
-0.0836,0.012
-0.0835,0.012
-0.0834,0.012
-0.0833,0.012
-0.0832,0.012
-0.0831,0.012
-0.083,0.012
-0.0829,0.012
-0.0828,0.012
-0.0827,0.012
-0.0826,0.012
-0.0825,0.012
-0.0824,0.008
-0.0823,0.012
-0.0822,0.012
-0.0821,0.008
-0.082,0.012
-0.0819,0.008
-0.0818,0.012
-0.0817,0.012
-0.0816,0.016
-0.0815,0.012
-0.0814,0.012
-0.0813,0.012
-0.0812,0.012
-0.0811,0.008
-0.081,0.016
-0.0809,0.008
-0.0808,0.012
-0.0807,0.012
-0.0806,0.012
-0.0805,0.012
-0.0804,0.012
-0.0803,0.012
-0.0802,0.012
-0.0801,0.012
-0.08,0.016
-0.0799,0.012
-0.0798,0.012
-0.0797,0.012
-0.0796,0.012
-0.0795,0.012
-0.0794,0.012
-0.0793,0
-0.0792,0
-0.0791,0
-0.079,0
-0.0789,0
-0.0788,0
-0.0787,0
-0.0786,0
-0.0785,0
-0.0784,0
-0.0783,0.012
-0.0782,0.012
-0.0781,0.012
-0.078,0.012
-0.0779,0.012
-0.0778,0.012
-0.0777,0.012
-0.0776,0.012
-0.0775,0.012
-0.0774,0.012
-0.0773,0.008
-0.0772,0.012
-0.0771,0.012
-0.077,0.012
-0.0769,0.012
-0.0768,0.012
-0.0767,0.012
-0.0766,0.016
-0.0765,0.012
-0.0764,0.016
-0.0763,0.012
-0.0762,0.012
-0.0761,0.012
-0.076,0.016
-0.0759,0.012
-0.0758,0.012
-0.0757,0.012
-0.0756,0.012
-0.0755,0.012
-0.0754,0.016
-0.0753,0.012
-0.0752,0.008
-0.0751,0.012
-0.075,0.012
-0.0749,0.012
-0.0748,0.016
-0.0747,0.012
-0.0746,0.008
-0.0745,0.012
-0.0744,0.012
-0.0743,0.012
-0.0742,0.012
-0.0741,0.012
-0.074,0.016
-0.0739,0.012
-0.0738,0.012
-0.0737,0.016
-0.0736,0.012
-0.0735,0.012
-0.0734,0.012
-0.0733,0.012
-0.0732,0.012
-0.0731,0.012
-0.073,0.012
-0.0729,0.012
-0.0728,0.012
-0.0727,0.012
-0.0726,0.012
-0.0725,0.012
-0.0724,0.012
-0.0723,0.012
-0.0722,0.016
-0.0721,0.012
-0.072,0.012
-0.0719,0.012
-0.0718,0.016
-0.0717,0.016
-0.0716,0.012
-0.0715,0.012
-0.0714,0.012
-0.0713,0.012
-0.0712,0.016
-0.0711,0.012
-0.071,0.016
-0.0709,0.012
-0.0708,0.012
-0.0707,0.012
-0.0706,0.016
-0.0705,0.012
-0.0704,0.012
-0.0703,0.012
-0.0702,0.012
-0.0701,0.012
-0.07,0.012
-0.0699,0.012
-0.0698,0.012
-0.0697,0.012
-0.0696,0.016
-0.0695,0.012
-0.0694,0.012
-0.0693,0.012
-0.0692,0.012
-0.0691,0.012
-0.069,0.012
-0.0689,0.012
-0.0688,0.012
-0.0687,0.012
-0.0686,0.016
-0.0685,0.016
-0.0684,0.012
-0.0683,0.016
-0.0682,0
-0.0681,0
-0.068,0
-0.0679,0
-0.0678,0
-0.0677,0
-0.0676,0
-0.0675,0.004
-0.0674,0
-0.0673,-0.004
-0.0672,0.016
-0.0671,0.012
-0.067,0.012
-0.0669,0.016
-0.0668,0.012
-0.0667,0.012
-0.0666,0.016
-0.0665,0.016
-0.0664,0.016
-0.0663,0.016
-0.0662,0.012
-0.0661,0.012
-0.066,0.016
-0.0659,0.016
-0.0658,0.016
-0.0657,0.016
-0.0656,0.012
-0.0655,0.016
-0.0654,0.012
-0.0653,0.012
-0.0652,0.016
-0.0651,0.012
-0.065,0.016
-0.0649,0.016
-0.0648,0.016
-0.0647,0.012
-0.0646,0.016
-0.0645,0.016
-0.0644,0.016
-0.0643,0.016
-0.0642,0.016
-0.0641,0.012
-0.064,0.016
-0.0639,0.012
-0.0638,0.016
-0.0637,0.016
-0.0636,0.012
-0.0635,0.016
-0.0634,0.012
-0.0633,0.016
-0.0632,0.016
-0.0631,0.012
-0.063,0.012
-0.0629,0.012
-0.0628,0.016
-0.0627,0.016
-0.0626,0.016
-0.0625,0.016
-0.0624,0.016
-0.0623,0.012
-0.0622,0.016
-0.0621,0.016
-0.062,0.016
-0.0619,0.016
-0.0618,0.016
-0.0617,0.016
-0.0616,0.016
-0.0615,0.016
-0.0614,0.016
-0.0613,0.016
-0.0612,0.016
-0.0611,0.016
-0.061,0.016
-0.0609,0.016
-0.0608,0.016
-0.0607,0.012
-0.0606,0.016
-0.0605,0.016
-0.0604,0.016
-0.0603,0.012
-0.0602,0.016
-0.0601,0.016
-0.06,0.012
-0.0599,0.016
-0.0598,0.016
-0.0597,0.016
-0.0596,0.016
-0.0595,0.016
-0.0594,0.016
-0.0593,0.012
-0.0592,0.016
-0.0591,0.02
-0.059,0.016
-0.0589,0.016
-0.0588,0.016
-0.0587,0.016
-0.0586,0.016
-0.0585,0.016
-0.0584,0.016
-0.0583,0.016
-0.0582,0.016
-0.0581,0.016
-0.058,0.016
-0.0579,0.016
-0.0578,0.016
-0.0577,0.016
-0.0576,0.012
-0.0575,0.02
-0.0574,0.016
-0.0573,0.016
-0.0572,0.016
-0.0571,0
-0.057,0
-0.0569,0
-0.0568,0
-0.0567,0
-0.0566,0
-0.0565,0
-0.0564,0
-0.0563,0.004
-0.0562,0
-0.0561,0.016
-0.056,0.012
-0.0559,0.012
-0.0558,0.016
-0.0557,0.02
-0.0556,0.016
-0.0555,0.016
-0.0554,0.016
-0.0553,0.016
-0.0552,0.016
-0.0551,0.016
-0.055,0.016
-0.0549,0.016
-0.0548,0.016
-0.0547,0.016
-0.0546,0.02
-0.0545,0.016
-0.0544,0.02
-0.0543,0.016
-0.0542,0.016
-0.0541,0.016
-0.054,0.02
-0.0539,0.02
-0.0538,0.016
-0.0537,0.016
-0.0536,0.016
-0.0535,0.02
-0.0534,0.016
-0.0533,0.02
-0.0532,0.016
-0.0531,0.02
-0.053,0.016
-0.0529,0.012
-0.0528,0.016
-0.0527,0.016
-0.0526,0.016
-0.0525,0.016
-0.0524,0.016
-0.0523,0.016
-0.0522,0.016
-0.0521,0.02
-0.052,0.024
-0.0519,0.016
-0.0518,0.02
-0.0517,0.02
-0.0516,0.016
-0.0515,0.02
-0.0514,0.016
-0.0513,0.024
-0.0512,0.02
-0.0511,0.016
-0.051,0.02
-0.0509,0.02
-0.0508,0.016
-0.0507,0.02
-0.0506,0.02
-0.0505,0.016
-0.0504,0.02
-0.0503,0.016
-0.0502,0.02
-0.0501,0.02
-0.05,0.016
-0.0499,0.02
-0.0498,0.02
-0.0497,0.02
-0.0496,0.02
-0.0495,0.02
-0.0494,0.02
-0.0493,0.016
-0.0492,0.016
-0.0491,0.02
-0.049,0.02
-0.0489,0.02
-0.0488,0.02
-0.0487,0.02
-0.0486,0.02
-0.0485,0.02
-0.0484,0.016
-0.0483,0.024
-0.0482,0.016
-0.0481,0.02
-0.048,0.024
-0.0479,0.024
-0.0478,0.02
-0.0477,0.02
-0.0476,0.02
-0.0475,0.02
-0.0474,0.02
-0.0473,0.02
-0.0472,0.02
-0.0471,0.02
-0.047,0.024
-0.0469,0.024
-0.0468,0.02
-0.0467,0.02
-0.0466,0.02
-0.0465,0.024
-0.0464,0.02
-0.0463,0.024
-0.0462,0.02
-0.0461,0.02
-0.046,0.004
-0.0459,0
-0.0458,0
-0.0457,0
-0.0456,0
-0.0455,0.004
-0.0454,0
-0.0453,0
-0.0452,0
-0.0451,0
-0.045,0.024
-0.0449,0.024
-0.0448,0.024
-0.0447,0.024
-0.0446,0.024
-0.0445,0.02
-0.0444,0.024
-0.0443,0.02
-0.0442,0.016
-0.0441,0.024
-0.044,0.02
-0.0439,0.024
-0.0438,0.024
-0.0437,0.024
-0.0436,0.024
-0.0435,0.024
-0.0434,0.024
-0.0433,0.024
-0.0432,0.024
-0.0431,0.024
-0.043,0.024
-0.0429,0.024
-0.0428,0.024
-0.0427,0.024
-0.0426,0.024
-0.0425,0.024
-0.0424,0.024
-0.0423,0.024
-0.0422,0.024
-0.0421,0.028
-0.042,0.024
-0.0419,0.028
-0.0418,0.024
-0.0417,0.028
-0.0416,0.024
-0.0415,0.024
-0.0414,0.024
-0.0413,0.024
-0.0412,0.024
-0.0411,0.028
-0.041,0.024
-0.0409,0.028
-0.0408,0.024
-0.0407,0.024
-0.0406,0.028
-0.0405,0.028
-0.0404,0.028
-0.0403,0.028
-0.0402,0.028
-0.0401,0.028
-0.04,0.028
-0.0399,0.028
-0.0398,0.032
-0.0397,0.028
-0.0396,0.024
-0.0395,0.028
-0.0394,0.028
-0.0393,0.028
-0.0392,0.024
-0.0391,0.024
-0.039,0.028
-0.0389,0.028
-0.0388,0.032
-0.0387,0.028
-0.0386,0.032
-0.0385,0.028
-0.0384,0.032
-0.0383,0.032
-0.0382,0.028
-0.0381,0.028
-0.038,0.032
-0.0379,0.032
-0.0378,0.032
-0.0377,0.032
-0.0376,0.028
-0.0375,0.032
-0.0374,0.032
-0.0373,0.032
-0.0372,0.036
-0.0371,0.036
-0.037,0.036
-0.0369,0.036
-0.0368,0.036
-0.0367,0.032
-0.0366,0.032
-0.0365,0.036
-0.0364,0.036
-0.0363,0.036
-0.0362,0.04
-0.0361,0.032
-0.036,0.036
-0.0359,0.036
-0.0358,0.036
-0.0357,0.036
-0.0356,0.036
-0.0355,0.036
-0.0354,0.036
-0.0353,0.036
-0.0352,0.036
-0.0351,0.04
-0.035,0.04
-0.0349,0
-0.0348,0
-0.0347,0
-0.0346,0
-0.0345,0
-0.0344,0
-0.0343,0
-0.0342,0
-0.0341,0
-0.034,0
-0.0339,0.044
-0.0338,0.044
-0.0337,0.04
-0.0336,0.044
-0.0335,0.044
-0.0334,0.044
-0.0333,0.044
-0.0332,0.044
-0.0331,0.044
-0.033,0.044
-0.0329,0.048
-0.0328,0.048
-0.0327,0.044
-0.0326,0.048
-0.0325,0.048
-0.0324,0.048
-0.0323,0.048
-0.0322,0.048
-0.0321,0.048
-0.032,0.052
-0.0319,0.052
-0.0318,0.052
-0.0317,0.052
-0.0316,0.052
-0.0315,0.056
-0.0314,0.056
-0.0313,0.056
-0.0312,0.06
-0.0311,0.056
-0.031,0.06
-0.0309,0.064
-0.0308,0.06
-0.0307,0.06
-0.0306,0.06
-0.0305,0.06
-0.0304,0.06
-0.0303,0.06
-0.0302,0.064
-0.0301,0.064
-0.03,0.064
-0.0299,0.064
-0.0298,0.068
-0.0297,0.068
-0.0296,0.068
-0.0295,0.068
-0.0294,0.064
-0.0293,0.072
-0.0292,0.064
-0.0291,0.072
-0.029,0.072
-0.0289,0.068
-0.0288,0.068
-0.0287,0.072
-0.0286,0.072
-0.0285,0.068
-0.0284,0.068
-0.0283,0.068
-0.0282,0.072
-0.0281,0.072
-0.028,0.068
-0.0279,0.072
-0.0278,0.072
-0.0277,0.072
-0.0276,0.072
-0.0275,0.072
-0.0274,0.076
-0.0273,0.076
-0.0272,0.076
-0.0271,0.076
-0.027,0.076
-0.0269,0.076
-0.0268,0.076
-0.0267,0.076
-0.0266,0.076
-0.0265,0.08
-0.0264,0.08
-0.0263,0.08
-0.0262,0.076
-0.0261,0.08
-0.026,0.084
-0.0259,0.08
-0.0258,0.084
-0.0257,0.08
-0.0256,0.088
-0.0255,0.092
-0.0254,0.088
-0.0253,0.088
-0.0252,0.092
-0.0251,0.092
-0.025,0.092
-0.0249,0.096
-0.0248,0.1
-0.0247,0.1
-0.0246,0.1
-0.0245,0.1
-0.0244,0.104
-0.0243,0.112
-0.0242,0.112
-0.0241,0.112
-0.024,0.12
-0.0239,0.12
-0.0238,0
-0.0237,0
-0.0236,0
-0.0235,0
-0.0234,0
-0.0233,0
-0.0232,0
-0.0231,0
-0.023,0.004
-0.0229,0
-0.0228,0.14
-0.0227,0.148
-0.0226,0.152
-0.0225,0.16
-0.0224,0.16
-0.0223,0.16
-0.0222,0.172
-0.0221,0.172
-0.022,0.176
-0.0219,0.176
-0.0218,0.188
-0.0217,0.196
-0.0216,0.204
-0.0215,0.208
-0.0214,0.212
