t,V
10.223,0.1552
10.2231,0.1552
10.2232,0.1544
10.2233,0.1552
10.2234,0.1548
10.2235,0.1552
10.2236,0.1548
10.2237,0.1552
10.2238,0.156
10.2239,0.1548
10.224,0.1548
10.2241,0.1552
10.2242,0.156
10.2243,0.1548
10.2244,0.1552
10.2245,0.1548
10.2246,0.156
10.2247,0.1556
10.2248,0.156
10.2249,0.1552
10.225,0.1552
10.2251,0.1556
10.2252,0.1544
10.2253,0.156
10.2254,0.1548
10.2255,0.1548
10.2256,0.1548
10.2257,0.1552
10.2258,0.1556
10.2259,0.1552
10.226,0.1552
10.2261,0.1544
10.2262,0.1552
10.2263,0.1552
10.2264,0.1552
10.2265,0.1556
10.2266,0.1552
10.2267,0.1552
10.2268,0.1556
10.2269,0.1548
10.227,0.1552
10.2271,0.1548
10.2272,0.1548
10.2273,0.1548
10.2274,0.1552
10.2275,0.1544
10.2276,0.1548
10.2277,0.1544
10.2278,0.1548
10.2279,0.1548
10.228,0.1556
10.2281,0.1556
10.2282,0.1548
10.2283,0.1548
10.2284,0.1544
10.2285,0.1544
10.2286,0.1548
10.2287,0.1548
10.2288,0.1552
10.2289,0.1548
10.229,0.1544
10.2291,0.1548
10.2292,0.1552
10.2293,0.1544
10.2294,0.1552
10.2295,0.1552
10.2296,0.1552
10.2297,0.1552
10.2298,0.1548
10.2299,0.1548
10.23,0.1544
10.2301,0.1548
10.2302,0.1552
10.2303,0.1552
10.2304,0.1548
10.2305,0.1548
10.2306,0.1552
10.2307,0.1548
10.2308,0.1548
10.2309,0.1544
10.231,0.154
10.2311,0.1552
10.2312,0.1548
10.2313,0.156
10.2314,0.1552
10.2315,0.154
10.2316,0.1552
10.2317,0.1548
10.2318,0.1536
10.2319,0.1544
10.232,0.1548
10.2321,0.1548
10.2322,0.1544
10.2323,0.154
10.2324,0.154
10.2325,0.154
10.2326,0.154
10.2327,0.1544
10.2328,0.1536
10.2329,0.1548
10.233,0.1544
10.2331,0.154
10.2332,0.1544
10.2333,0.1548
10.2334,0.1548
10.2335,0.1548
10.2336,0.154
10.2337,0.1556
10.2338,0.1536
10.2339,0.1548
10.234,0.1544
10.2341,0.1548
10.2342,0.1548
10.2343,0.1552
10.2344,0.1548
10.2345,0.1548
10.2346,0.1548
10.2347,0.1552
10.2348,0.1548
10.2349,0.154
10.235,0.1544
10.2351,0.1544
10.2352,0.1548
10.2353,0.1536
10.2354,0.154
10.2355,0.1548
10.2356,0.1536
10.2357,0.1536
10.2358,0.1552
10.2359,0.1544
10.236,0.1536
10.2361,0.1544
10.2362,0.1548
10.2363,0.1548
10.2364,0.1544
10.2365,0.1548
10.2366,0.1548
10.2367,0.1536
10.2368,0.1536
10.2369,0.154
10.237,0.154
10.2371,0.154
10.2372,0.154
10.2373,0.154
10.2374,0.1532
10.2375,0.1536
10.2376,0.1536
10.2377,0.1532
10.2378,0.154
10.2379,0.1544
10.238,0.1544
10.2381,0.1544
10.2382,0.1536
10.2383,0.1528
10.2384,0.1544
10.2385,0.1544
10.2386,0.154
10.2387,0.154
10.2388,0.1544
10.2389,0.1536
10.239,0.1548
10.2391,0.154
10.2392,0.1548
10.2393,0.1544
10.2394,0.1532
10.2395,0.1536
10.2396,0.154
10.2397,0.1536
10.2398,0.154
10.2399,0.154
10.24,0.154
10.2401,0.154
10.2402,0.1536
10.2403,0.1548
10.2404,0.154
10.2405,0.1536
10.2406,0.1536
10.2407,0.1536
10.2408,0.1544
10.2409,0.1544
10.241,0.154
10.2411,0.1536
10.2412,0.1536
10.2413,0.154
10.2414,0.1532
10.2415,0.1548
10.2416,0.1532
10.2417,0.1544
10.2418,0.1536
10.2419,0.1544
10.242,0.1536
10.2421,0.1536
10.2422,0.1536
10.2423,0.1528
10.2424,0.1544
10.2425,0.154
10.2426,0.154
