t,V
10.203,0.012
10.2031,0.008
10.2032,0.008
10.2033,0.012
10.2034,0.012
10.2035,0.012
10.2036,0.012
10.2037,0.012
10.2038,0.012
10.2039,0.012
10.204,0.012
10.2041,0.008
10.2042,0.012
10.2043,0.012
10.2044,0.008
10.2045,0.008
10.2046,0.012
10.2047,0.012
10.2048,0.012
10.2049,0.012
10.205,0.008
10.2051,0.008
10.2052,0.008
10.2053,0.012
10.2054,0.016
10.2055,0.012
10.2056,0.008
10.2057,0.008
10.2058,0.012
10.2059,0.012
10.206,0.008
10.2061,0.012
10.2062,0.012
10.2063,0.012
10.2064,0.012
10.2065,0.012
10.2066,0.012
10.2067,0.012
10.2068,0.012
10.2069,0.012
10.207,0.008
10.2071,0.012
10.2072,0.008
10.2073,0.012
10.2074,0.012
10.2075,0.008
10.2076,0.012
10.2077,0.008
10.2078,0.012
10.2079,0.012
10.208,0.012
10.2081,0.012
10.2082,0.012
10.2083,0.012
10.2084,0.012
10.2085,0.012
10.2086,0.012
10.2087,0.016
10.2088,0.016
10.2089,0.016
10.209,0.012
10.2091,0.012
10.2092,0.012
10.2093,0.012
10.2094,0.012
10.2095,0.012
10.2096,0.008
10.2097,0.016
10.2098,0.016
10.2099,0.012
10.21,0.012
10.2101,0.012
10.2102,0.012
10.2103,0.012
10.2104,0.012
10.2105,0.012
10.2106,0.008
10.2107,0.012
10.2108,0.012
10.2109,0.008
10.211,0.012
10.2111,0.008
10.2112,0.012
10.2113,0.012
10.2114,0.012
10.2115,0.012
10.2116,0.016
10.2117,0.012
10.2118,0.012
10.2119,0.012
10.212,0.016
10.2121,0.012
10.2122,0.012
10.2123,0.012
10.2124,0.012
10.2125,0.016
10.2126,0.016
10.2127,0.012
10.2128,0.012
10.2129,0.012
10.213,0.016
10.2131,0.012
10.2132,0.016
10.2133,0.012
10.2134,0.016
10.2135,0.016
10.2136,0.016
10.2137,0.016
10.2138,0.012
10.2139,0.016
10.214,0.016
10.2141,0.016
10.2142,0.016
10.2143,0.016
10.2144,0.016
10.2145,0.016
10.2146,0.012
10.2147,0.016
10.2148,0.016
10.2149,0.016
10.215,0.016
10.2151,0.016
10.2152,0.016
10.2153,0.016
10.2154,0.016
10.2155,0.012
10.2156,0.02
10.2157,0.02
10.2158,0.016
10.2159,0.012
10.216,0.016
10.2161,0.02
10.2162,0.016
10.2163,0.02
10.2164,0.016
10.2165,0.02
10.2166,0.02
10.2167,0.02
10.2168,0.016
10.2169,0.02
10.217,0.02
10.2171,0.02
10.2172,0.02
10.2173,0.02
10.2174,0.024
10.2175,0.024
10.2176,0.02
10.2177,0.024
10.2178,0.024
10.2179,0.024
10.218,0.024
10.2181,0.028
10.2182,0.028
10.2183,0.028
10.2184,0.028
10.2185,0.028
10.2186,0.028
10.2187,0.024
10.2188,0.032
10.2189,0.028
10.219,0.028
10.2191,0.028
10.2192,0.032
10.2193,0.036
10.2194,0.04
10.2195,0.036
10.2196,0.04
10.2197,0.048
