t,V
9.946,0.1364
9.9461,0.138
9.9462,0.1368
9.9463,0.1368
9.9464,0.1372
9.9465,0.1364
9.9466,0.1372
9.9467,0.1372
9.9468,0.1372
9.9469,0.136
9.947,0.1368
9.9471,0.1368
9.9472,0.1372
9.9473,0.136
9.9474,0.1372
9.9475,0.1364
9.9476,0.1372
9.9477,0.1372
9.9478,0.1364
9.9479,0.1368
9.948,0.1372
9.9481,0.1372
9.9482,0.1372
9.9483,0.1368
9.9484,0.1376
9.9485,0.1364
9.9486,0.1372
9.9487,0.1376
9.9488,0.1372
9.9489,0.1368
9.949,0.1368
9.9491,0.1368
9.9492,0.136
9.9493,0.1372
9.9494,0.1368
9.9495,0.1364
9.9496,0.1372
9.9497,0.1376
9.9498,0.1364
9.9499,0.1372
9.95,0.1372
9.9501,0.1368
9.9502,0.1372
9.9503,0.1368
9.9504,0.1364
9.9505,0.1368
9.9506,0.1364
9.9507,0.1372
9.9508,0.1376
9.9509,0.1372
9.951,0.1372
9.9511,0.1368
9.9512,0.1376
9.9513,0.1376
9.9514,0.1368
9.9515,0.1372
9.9516,0.1372
9.9517,0.1376
9.9518,0.1372
9.9519,0.1372
9.952,0.1372
9.9521,0.1372
9.9522,0.138
9.9523,0.1368
9.9524,0.1372
9.9525,0.1368
9.9526,0.1372
9.9527,0.1372
9.9528,0.1368
9.9529,0.1372
9.953,0.1372
9.9531,0.138
9.9532,0.138
9.9533,0.1372
9.9534,0.1372
9.9535,0.1376
9.9536,0.1372
9.9537,0.1376
9.9538,0.1372
9.9539,0.138
9.954,0.1376
9.9541,0.1372
9.9542,0.1376
9.9543,0.1376
9.9544,0.138
9.9545,0.138
9.9546,0.138
9.9547,0.1384
9.9548,0.1376
9.9549,0.138
9.955,0.138
9.9551,0.1384
9.9552,0.1372
9.9553,0.138
9.9554,0.1372
9.9555,0.1376
9.9556,0.138
9.9557,0.1372
9.9558,0.1372
9.9559,0.1384
9.956,0.1376
9.9561,0.1376
9.9562,0.138
9.9563,0.1372
9.9564,0.1376
9.9565,0.1372
9.9566,0.1376
9.9567,0.138
9.9568,0.1372
9.9569,0.1384
9.957,0.1392
9.9571,0.1372
9.9572,0.138
9.9573,0.1368
9.9574,0.1372
9.9575,0.1384
9.9576,0.138
9.9577,0.1376
9.9578,0.138
9.9579,0.1376
9.958,0.138
9.9581,0.1384
9.9582,0.1372
9.9583,0.1372
9.9584,0.138
9.9585,0.138
9.9586,0.1372
9.9587,0.1392
9.9588,0.1376
9.9589,0.138
9.959,0.1384
9.9591,0.1384
9.9592,0.1376
9.9593,0.138
9.9594,0.1384
9.9595,0.1372
9.9596,0.1372
9.9597,0.1376
9.9598,0.1384
9.9599,0.1376
9.96,0.1384
9.9601,0.1384
9.9602,0.1372
9.9603,0.138
9.9604,0.1368
9.9605,0.1384
9.9606,0.1376
9.9607,0.138
9.9608,0.1376
9.9609,0.1376
9.961,0.1384
9.9611,0.1384
9.9612,0.1376
9.9613,0.1376
9.9614,0.1384
9.9615,0.1376
9.9616,0.1384
9.9617,0.138
9.9618,0.1372
9.9619,0.1388
9.962,0.138
9.9621,0.1372
9.9622,0.1372
9.9623,0.1376
9.9624,0.1384
9.9625,0.1372
9.9626,0.138
9.9627,0.1376
9.9628,0.1372
9.9629,0.1372
9.963,0.1388
9.9631,0.1388
9.9632,0.1388
9.9633,0.1384
9.9634,0.138
9.9635,0.1376
9.9636,0.138
9.9637,0.1384
9.9638,0.1384
9.9639,0.1376
9.964,0.138
9.9641,0.1384
9.9642,0.1384
9.9643,0.1372
9.9644,0.1372
9.9645,0.1384
9.9646,0.138
9.9647,0.1376
9.9648,0.1372
9.9649,0.1376
9.965,0.1384
9.9651,0.1384
9.9652,0.1384
9.9653,0.138
9.9654,0.138
9.9655,0.138
9.9656,0.1376
9.9657,0.1376
9.9658,0.1384
9.9659,0.1376
9.966,0.138
9.9661,0.1384
9.9662,0.1384
9.9663,0.138
9.9664,0.1376
9.9665,0.138
9.9666,0.1372
9.9667,0.1384
9.9668,0.1384
9.9669,0.1384
9.967,0.138
9.9671,0.1388
9.9672,0.1384
9.9673,0.1388
9.9674,0.1384
9.9675,0.138
9.9676,0.1388
9.9677,0.1388
9.9678,0.1384
9.9679,0.1388
9.968,0.1384
9.9681,0.1384
9.9682,0.138
9.9683,0.138
9.9684,0.1384
9.9685,0.1384
9.9686,0.1388
9.9687,0.138
9.9688,0.1376
9.9689,0.1388
9.969,0.1392
9.9691,0.1384
9.9692,0.1384
9.9693,0.1384
9.9694,0.1384
9.9695,0.1384
9.9696,0.1388
9.9697,0.1384
9.9698,0.1384
9.9699,0.1384
9.97,0.1384
9.9701,0.1392
9.9702,0.1384
9.9703,0.1388
9.9704,0.1384
9.9705,0.1388
9.9706,0.1392
9.9707,0.138
9.9708,0.1388
9.9709,0.1384
9.971,0.1392
9.9711,0.1388
9.9712,0.1392
9.9713,0.1384
9.9714,0.1392
9.9715,0.1384
9.9716,0.138
9.9717,0.1388
9.9718,0.138
9.9719,0.1388
9.972,0.1384
9.9721,0.1384
9.9722,0.1388
9.9723,0.1388
9.9724,0.1384
9.9725,0.1392
9.9726,0.1384
9.9727,0.1384
9.9728,0.1392
9.9729,0.1376
9.973,0.1388
9.9731,0.1388
9.9732,0.1384
9.9733,0.1388
9.9734,0.1392
9.9735,0.1388
9.9736,0.1388
9.9737,0.1384
9.9738,0.1392
9.9739,0.1392
9.974,0.138
9.9741,0.1384
9.9742,0.1388
9.9743,0.1388
9.9744,0.1388
9.9745,0.1396
9.9746,0.1384
9.9747,0.138
9.9748,0.1388
9.9749,0.1392
9.975,0.1392
9.9751,0.1392
9.9752,0.1388
9.9753,0.1388
9.9754,0.1392
9.9755,0.1384
9.9756,0.1384
9.9757,0.1396
9.9758,0.1392
9.9759,0.1392
9.976,0.1392
9.9761,0.1392
9.9762,0.138
9.9763,0.1392
9.9764,0.1384
9.9765,0.1388
9.9766,0.1396
9.9767,0.1396
9.9768,0.138
9.9769,0.1388
9.977,0.1384
9.9771,0.1392
9.9772,0.1392
9.9773,0.1392
9.9774,0.1392
9.9775,0.1392
9.9776,0.1388
9.9777,0.1392
9.9778,0.1388
9.9779,0.1392
9.978,0.1392
9.9781,0.1396
9.9782,0.1384
9.9783,0.1384
9.9784,0.1384
9.9785,0.1384
9.9786,0.1388
9.9787,0.1384
9.9788,0.1372
9.9789,0.1396
9.979,0.1396
9.9791,0.1392
9.9792,0.1384
9.9793,0.1384
9.9794,0.1384
9.9795,0.1384
9.9796,0.1396
9.9797,0.1388
9.9798,0.138
9.9799,0.1396
9.98,0.1384
9.9801,0.1392
9.9802,0.1388
9.9803,0.1384
9.9804,0.1396
9.9805,0.1384
9.9806,0.1388
9.9807,0.1384
9.9808,0.1396
9.9809,0.1392
9.981,0.1392
9.9811,0.1388
9.9812,0.1388
9.9813,0.1396
9.9814,0.1388
9.9815,0.1396
9.9816,0.1392
9.9817,0.1392
9.9818,0.1388
9.9819,0.1392
9.982,0.1388
9.9821,0.138
9.9822,0.1392
9.9823,0.1392
9.9824,0.14
9.9825,0.1388
9.9826,0.1376
9.9827,0.1392
9.9828,0.138
9.9829,0.1396
9.983,0.1388
9.9831,0.1396
9.9832,0.1396
9.9833,0.1384
9.9834,0.1396
9.9835,0.1384
9.9836,0.1384
9.9837,0.1396
9.9838,0.1392
9.9839,0.1384
9.984,0.1388
9.9841,0.14
9.9842,0.1388
9.9843,0.14
9.9844,0.1396
9.9845,0.1392
9.9846,0.14
9.9847,0.1396
9.9848,0.1392
9.9849,0.1388
9.985,0.1392
9.9851,0.1396
