t,V
9.966,0.036
9.9661,0.036
9.9662,0.036
9.9663,0.036
9.9664,0.04
9.9665,0.04
9.9666,0.04
9.9667,0.044
9.9668,0.04
9.9669,0.04
9.967,0.044
9.9671,0.044
9.9672,0.04
9.9673,0.04
9.9674,0.044
9.9675,0.044
9.9676,0.044
9.9677,0.04
9.9678,0.044
9.9679,0.044
9.968,0.044
9.9681,0.044
9.9682,0.044
9.9683,0.044
9.9684,0.044
9.9685,0.048
9.9686,0.044
9.9687,0.048
9.9688,0.048
9.9689,0.048
9.969,0.048
9.9691,0.052
9.9692,0.044
9.9693,0.048
9.9694,0.048
9.9695,0.048
9.9696,0.052
9.9697,0.052
9.9698,0.052
9.9699,0.052
9.97,0.048
9.9701,0.052
9.9702,0.048
9.9703,0.052
9.9704,0.052
9.9705,0.056
9.9706,0.056
9.9707,0.052
9.9708,0.056
9.9709,0.052
9.971,0.056
9.9711,0.056
9.9712,0.056
9.9713,0.056
9.9714,0.056
9.9715,0.056
9.9716,0.056
9.9717,0.056
9.9718,0.06
9.9719,0.056
9.972,0.06
9.9721,0.056
9.9722,0.056
9.9723,0.056
9.9724,0.06
9.9725,0.056
9.9726,0.06
9.9727,0.06
9.9728,0.06
9.9729,0.06
9.973,0.06
9.9731,0.064
9.9732,0.06
9.9733,0.06
9.9734,0.06
9.9735,0.06
9.9736,0.06
9.9737,0.06
9.9738,0.06
9.9739,0.06
9.974,0.064
9.9741,0.06
9.9742,0.06
9.9743,0.06
9.9744,0.06
9.9745,0.06
9.9746,0.064
9.9747,0.064
9.9748,0.06
9.9749,0.06
9.975,0.064
9.9751,0.064
9.9752,0.064
9.9753,0.06
9.9754,0.064
9.9755,0.064
9.9756,0.064
9.9757,0.064
9.9758,0.064
9.9759,0.064
9.976,0.064
9.9761,0.064
9.9762,0.064
9.9763,0.064
9.9764,0.064
9.9765,0.068
9.9766,0.064
9.9767,0.068
9.9768,0.068
9.9769,0.064
9.977,0.068
9.9771,0.068
9.9772,0.072
9.9773,0.072
9.9774,0.068
9.9775,0.072
9.9776,0.072
9.9777,0.072
9.9778,0.076
9.9779,0.072
9.978,0.076
9.9781,0.076
9.9782,0.072
9.9783,0.08
9.9784,0.076
9.9785,0.08
9.9786,0.08
9.9787,0.076
9.9788,0.08
9.9789,0.08
9.979,0.08
9.9791,0.084
9.9792,0.084
9.9793,0.084
9.9794,0.084
9.9795,0.084
9.9796,0.084
9.9797,0.088
9.9798,0.088
9.9799,0.088
9.98,0.088
9.9801,0.092
9.9802,0.092
9.9803,0.092
9.9804,0.092
9.9805,0.092
9.9806,0.092
9.9807,0.092
9.9808,0.096
9.9809,0.096
9.981,0.092
9.9811,0.092
9.9812,0.096
9.9813,0.096
9.9814,0.096
9.9815,0.096
9.9816,0.096
9.9817,0.1
9.9818,0.1
9.9819,0.1
9.982,0.1
9.9821,0.1
9.9822,0.104
9.9823,0.104
9.9824,0.1
9.9825,0.104
9.9826,0.104
9.9827,0.104
9.9828,0.108
9.9829,0.108
9.983,0.112
9.9831,0.108
9.9832,0.112
9.9833,0.112
9.9834,0.112
9.9835,0.116
9.9836,0.116
9.9837,0.112
9.9838,0.112
9.9839,0.116
9.984,0.12
9.9841,0.12
9.9842,0.116
9.9843,0.12
9.9844,0.12
9.9845,0.12
9.9846,0.124
9.9847,0.124
9.9848,0.124
9.9849,0.12
9.985,0.124
9.9851,0.124
9.9852,0.128
9.9853,0.132
9.9854,0.124
9.9855,0.128
9.9856,0.128
9.9857,0.124
9.9858,0.128
9.9859,0.128
9.986,0.124
9.9861,0.128
9.9862,0.132
9.9863,0.128
9.9864,0.128
9.9865,0.132
9.9866,0.132
9.9867,0.132
9.9868,0.132
9.9869,0.132
9.987,0.136
9.9871,0.136
9.9872,0.14
9.9873,0.132
9.9874,0.136
9.9875,0.14
9.9876,0.14
9.9877,0.136
9.9878,0.14
9.9879,0.148
9.988,0.152
9.9881,0.152
9.9882,0.148
9.9883,0.152
9.9884,0.16
9.9885,0.168
9.9886,0.168
9.9887,0.164
9.9888,0.168
9.9889,0.172
9.989,0.172
9.9891,0.172
9.9892,0.176
9.9893,0.176
9.9894,0.184
9.9895,0.18
9.9896,0.176
9.9897,0.18
9.9898,0.184
9.9899,0.184
9.99,0.184
9.9901,0.184
9.9902,0.184
9.9903,0.184
9.9904,0.184
9.9905,0.184
9.9906,0.188
9.9907,0.184
9.9908,0.184
9.9909,0.184
9.991,0.188
9.9911,0.188
9.9912,0.188
9.9913,0.188
9.9914,0.188
9.9915,0.188
9.9916,0.2
9.9917,0.204
9.9918,0.2
9.9919,0.204
9.992,0.22
9.9921,0.228
9.9922,0.22
9.9923,0.224
9.9924,0.236
9.9925,0.248
9.9926,0.252
9.9927,0.24
9.9928,0.252
9.9929,0.264
9.993,0.272
9.9931,0.272
9.9932,0.284
9.9933,0.28
9.9934,0.288
9.9935,0.296
9.9936,0.296
9.9937,0.3
9.9938,0.304
9.9939,0.308
9.994,0.316
9.9941,0.312
9.9942,0.312
9.9943,0.316
9.9944,0.32
