t,V
14.204,0.1504
14.2042,0.1506
14.2044,0.1502
14.2046,0.1504
14.2048,0.1502
14.205,0.1514
14.2052,0.1512
14.2054,0.1504
14.2056,0.1502
14.2058,0.1516
14.206,0.1508
14.2062,0.1508
14.2064,0.1508
14.2066,0.1508
14.2068,0.1504
14.207,0.1506
14.2072,0.1504
14.2074,0.1508
14.2076,0.1506
14.2078,0.1508
14.208,0.1506
14.2082,0.1506
14.2084,0.15
14.2086,0.1512
14.2088,0.1506
14.209,0.1502
14.2092,0.151
14.2094,0.1506
14.2096,0.15
14.2098,0.1502
14.21,0.151
14.2102,0.1504
14.2104,0.1498
14.2106,0.1516
14.2108,0.1512
14.211,0.1502
14.2112,0.151
14.2114,0.1506
14.2116,0.1504
14.2118,0.1498
14.212,0.1508
14.2122,0.1502
14.2124,0.1498
14.2126,0.1506
14.2128,0.1508
14.213,0.1508
14.2132,0.1498
14.2134,0.1506
14.2136,0.1506
14.2138,0.1508
14.214,0.1508
14.2142,0.1506
14.2144,0.1498
14.2146,0.15
14.2148,0.1502
14.215,0.1506
14.2152,0.1512
14.2154,0.1504
14.2156,0.1504
14.2158,0.15
14.216,0.15
14.2162,0.1496
14.2164,0.1506
14.2166,0.1504
14.2168,0.151
14.217,0.1502
14.2172,0.1508
14.2174,0.1502
14.2176,0.1516
14.2178,0.151
14.218,0.1502
14.2182,0.1506
14.2184,0.1506
14.2186,0.1508
14.2188,0.1506
14.219,0.1508
14.2192,0.1504
14.2194,0.151
14.2196,0.1508
14.2198,0.1518
14.22,0.151
14.2202,0.1508
14.2204,0.1506
14.2206,0.1508
14.2208,0.151
14.221,0.1502
14.2212,0.1506
14.2214,0.1506
14.2216,0.1506
14.2218,0.1506
14.222,0.1506
14.2222,0.1512
14.2224,0.1506
14.2226,0.1508
14.2228,0.1502
14.223,0.1512
14.2232,0.1512
14.2234,0.1504
14.2236,0.1504
14.2238,0.151
14.224,0.151
14.2242,0.1504
14.2244,0.1508
14.2246,0.151
14.2248,0.1502
14.225,0.1508
14.2252,0.151
14.2254,0.1512
14.2256,0.15
14.2258,0.151
14.226,0.1504
14.2262,0.15
14.2264,0.1502
14.2266,0.1506
14.2268,0.1506
14.227,0.1506
14.2272,0.1506
14.2274,0.1506
14.2276,0.1506
14.2278,0.1512
14.228,0.1502
14.2282,0.1506
14.2284,0.1506
14.2286,0.151
14.2288,0.1502
14.229,0.15
14.2292,0.1506
14.2294,0.1508
14.2296,0.1506
14.2298,0.1504
14.23,0.1504
14.2302,0.1502
14.2304,0.1508
14.2306,0.1504
14.2308,0.1504
14.231,0.151
14.2312,0.1508
14.2314,0.1498
14.2316,0.1508
14.2318,0.1506
14.232,0.1508
14.2322,0.1502
14.2324,0.1518
14.2326,0.1508
14.2328,0.1498
14.233,0.1504
14.2332,0.1506
14.2334,0.15
14.2336,0.151
14.2338,0.1508
14.234,0.1506
14.2342,0.1504
14.2344,0.1506
14.2346,0.1514
14.2348,0.151
14.235,0.1506
14.2352,0.1504
14.2354,0.1504
14.2356,0.1504
14.2358,0.1506
14.236,0.1504
14.2362,0.1504
14.2364,0.151
14.2366,0.1512
14.2368,0.151
14.237,0.15
14.2372,0.15
14.2374,0.15
14.2376,0.1506
14.2378,0.1504
14.238,0.15
14.2382,0.1508
14.2384,0.1508
14.2386,0.1502
14.2388,0.1506
14.239,0.1506
14.2392,0.1502
14.2394,0.151
14.2396,0.1506
14.2398,0.1504
14.24,0.1498
14.2402,0.1506
14.2404,0.1514
14.2406,0.1516
14.2408,0.1506
14.241,0.1504
14.2412,0.151
14.2414,0.1506
14.2416,0.151
14.2418,0.1516
14.242,0.1508
14.2422,0.1516
14.2424,0.1502
14.2426,0.1506
14.2428,0.151
14.243,0.1504
14.2432,0.1506
14.2434,0.1506
14.2436,0.1508
14.2438,0.15
14.244,0.1506
14.2442,0.1508
14.2444,0.1504
14.2446,0.1506
14.2448,0.1512
14.245,0.1502
14.2452,0.1502
14.2454,0.15
14.2456,0.151
14.2458,0.1504
14.246,0.1502
14.2462,0.1502
14.2464,0.1516
14.2466,0.1504
14.2468,0.15
14.247,0.1508
14.2472,0.1508
14.2474,0.1512
14.2476,0.1502
14.2478,0.1498
14.248,0.151
14.2482,0.1512
14.2484,0.1508
14.2486,0.1512
14.2488,0.1512
14.249,0.1512
14.2492,0.1506
14.2494,0.1506
14.2496,0.1512
14.2498,0.1508
14.25,0.15
14.2502,0.1506
14.2504,0.1506
14.2506,0.1506
14.2508,0.15
14.251,0.1502
14.2512,0.1514
14.2514,0.15
14.2516,0.1496
14.2518,0.1498
14.252,0.1502
14.2522,0.1504
14.2524,0.1498
14.2526,0.151
14.2528,0.1506
14.253,0.1506
14.2532,0.1504
14.2534,0.1512
14.2536,0.1502
14.2538,0.1512
14.254,0.1512
14.2542,0.1512
14.2544,0.1506
14.2546,0.1508
14.2548,0.151
14.255,0.1508
14.2552,0.151
14.2554,0.1502
14.2556,0.1508
14.2558,0.1504
14.256,0.151
14.2562,0.1506
14.2564,0.1506
14.2566,0.1508
14.2568,0.1504
14.257,0.1508
14.2572,0.1508
14.2574,0.1506
14.2576,0.1504
14.2578,0.1504
14.258,0.1508
14.2582,0.1506
14.2584,0.1508
14.2586,0.1506
14.2588,0.1504
14.259,0.1512
14.2592,0.1508
14.2594,0.1506
14.2596,0.1504
14.2598,0.1506
14.26,0.1508
14.2602,0.1506
14.2604,0.1506
14.2606,0.1508
14.2608,0.1502
14.261,0.1502
14.2612,0.1504
14.2614,0.15
14.2616,0.1508
14.2618,0.1502
14.262,0.1504
14.2622,0.1502
14.2624,0.1506
14.2626,0.15
14.2628,0.15
14.263,0.151
14.2632,0.1506
14.2634,0.151
14.2636,0.15
14.2638,0.1504
14.264,0.15
14.2642,0.1506
14.2644,0.1502
14.2646,0.15
14.2648,0.1502
14.265,0.1508
14.2652,0.1498
14.2654,0.1502
14.2656,0.1508
14.2658,0.1506
14.266,0.1508
14.2662,0.151
14.2664,0.1506
14.2666,0.15
14.2668,0.1502
14.267,0.1506
14.2672,0.1496
14.2674,0.1506
14.2676,0.1508
14.2678,0.1506
14.268,0.1498
14.2682,0.15
14.2684,0.1506
14.2686,0.1508
14.2688,0.1506
14.269,0.1498
14.2692,0.1504
14.2694,0.1496
14.2696,0.1502
14.2698,0.1498
14.27,0.1504
14.2702,0.1502
14.2704,0.1504
14.2706,0.15
14.2708,0.151
14.271,0.151
14.2712,0.1506
14.2714,0.1502
14.2716,0.1512
14.2718,0.1506
14.272,0.1504
14.2722,0.1504
14.2724,0.1502
14.2726,0.15
14.2728,0.1498
14.273,0.1502
14.2732,0.15
14.2734,0.1502
14.2736,0.15
14.2738,0.1506
14.274,0.1502
14.2742,0.151
14.2744,0.15
14.2746,0.1492
14.2748,0.1502
14.275,0.1512
14.2752,0.1496
14.2754,0.1504
14.2756,0.1496
14.2758,0.1504
14.276,0.1516
14.2762,0.1502
14.2764,0.1504
14.2766,0.1506
14.2768,0.151
14.277,0.151
14.2772,0.1506
14.2774,0.151
14.2776,0.1512
14.2778,0.1506
14.278,0.1514
14.2782,0.1512
14.2784,0.1506
14.2786,0.1506
14.2788,0.1508
14.279,0.1506
14.2792,0.1506
14.2794,0.1512
14.2796,0.151
14.2798,0.1506
14.28,0.1504
14.2802,0.1508
14.2804,0.1508
14.2806,0.151
14.2808,0.15
14.281,0.1504
14.2812,0.1498
14.2814,0.15
14.2816,0.1506
14.2818,0.15
14.282,0.1502
14.2822,0.1506
14.2824,0.1504
14.2826,0.15
14.2828,0.1498
14.283,0.1504
14.2832,0.1504
14.2834,0.1506
14.2836,0.151
14.2838,0.1496
14.284,0.15
14.2842,0.1504
14.2844,0.1504
14.2846,0.1504
14.2848,0.1506
14.285,0.1506
14.2852,0.1508
14.2854,0.1504
14.2856,0.1506
14.2858,0.1502
14.286,0.1502
14.2862,0.1498
14.2864,0.1498
14.2866,0.1508
14.2868,0.1508
14.287,0.1504
14.2872,0.1504
14.2874,0.1502
14.2876,0.1502
14.2878,0.151
14.288,0.15
14.2882,0.1508
14.2884,0.151
14.2886,0.1498
14.2888,0.1506
14.289,0.1506
14.2892,0.151
14.2894,0.1512
14.2896,0.15
14.2898,0.1502
14.29,0.1512
14.2902,0.1512
14.2904,0.1516
14.2906,0.1506
14.2908,0.1504
14.291,0.1512
14.2912,0.1496
14.2914,0.1504
14.2916,0.1504
14.2918,0.1502
14.292,0.1502
14.2922,0.1508
14.2924,0.1502
14.2926,0.1506
14.2928,0.151
14.293,0.1502
14.2932,0.1506
14.2934,0.1506
14.2936,0.1498
14.2938,0.1506
14.294,0.151
14.2942,0.151
14.2944,0.1504
14.2946,0.15
14.2948,0.1498
14.295,0.1498
14.2952,0.15
14.2954,0.1498
14.2956,0.1504
14.2958,0.1496
14.296,0.1498
14.2962,0.1504
14.2964,0.1504
14.2966,0.1512
14.2968,0.15
14.297,0.151
14.2972,0.1514
14.2974,0.1512
14.2976,0.151
14.2978,0.1504
14.298,0.1508
14.2982,0.1506
14.2984,0.1506
14.2986,0.1504
14.2988,0.1504
14.299,0.1506
14.2992,0.1502
14.2994,0.151
14.2996,0.1504
14.2998,0.1508
14.3,0.1498
14.3002,0.1504
14.3004,0.1504
14.3006,0.1504
14.3008,0.151
14.301,0.1498
14.3012,0.15
14.3014,0.15
14.3016,0.1506
14.3018,0.1504
14.302,0.151
14.3022,0.15
14.3024,0.1508
14.3026,0.1506
14.3028,0.1504
14.303,0.1504
14.3032,0.1502
14.3034,0.1512
14.3036,0.1512
14.3038,0.1502
14.304,0.1506
14.3042,0.1502
14.3044,0.1496
14.3046,0.1498
14.3048,0.1506
14.305,0.15
14.3052,0.1508
14.3054,0.15
14.3056,0.1502
14.3058,0.1504
14.306,0.1508
14.3062,0.1502
14.3064,0.1504
14.3066,0.151
14.3068,0.1504
14.307,0.1504
14.3072,0.1504
14.3074,0.1498
14.3076,0.1512
14.3078,0.1504
14.308,0.1502
14.3082,0.1506
14.3084,0.1506
14.3086,0.1512
14.3088,0.1504
14.309,0.1504
14.3092,0.15
14.3094,0.1506
14.3096,0.151
14.3098,0.1502
14.31,0.1508
14.3102,0.1496
14.3104,0.1502
14.3106,0.15
14.3108,0.1504
14.311,0.1492
14.3112,0.1504
14.3114,0.15
14.3116,0.151
14.3118,0.1502
14.312,0.15
14.3122,0.1494
14.3124,0.151
14.3126,0.1504
14.3128,0.1502
14.313,0.151
14.3132,0.1504
14.3134,0.15
14.3136,0.151
14.3138,0.15
14.314,0.15
14.3142,0.15
14.3144,0.1506
14.3146,0.15
14.3148,0.15
14.315,0.1506
14.3152,0.15
14.3154,0.1496
14.3156,0.1506
14.3158,0.1504
14.316,0.1506
14.3162,0.1508
14.3164,0.1512
14.3166,0.1508
14.3168,0.1492
14.317,0.1512
14.3172,0.151
14.3174,0.15
14.3176,0.1506
14.3178,0.1504
14.318,0.15
14.3182,0.1504
14.3184,0.1506
14.3186,0.1496
14.3188,0.1506
14.319,0.1506
14.3192,0.1508
14.3194,0.15
14.3196,0.1502
14.3198,0.1498
14.32,0.151
14.3202,0.1498
14.3204,0.15
14.3206,0.1506
14.3208,0.1504
14.321,0.1498
14.3212,0.1502
14.3214,0.1508
14.3216,0.1514
14.3218,0.1506
14.322,0.1508
14.3222,0.15
14.3224,0.1504
14.3226,0.15
14.3228,0.1502
14.323,0.1498
14.3232,0.1498
14.3234,0.1506
14.3236,0.1508
14.3238,0.15
14.324,0.1496
14.3242,0.1504
14.3244,0.1512
14.3246,0.1496
14.3248,0.1498
14.325,0.1506
14.3252,0.15
14.3254,0.1506
14.3256,0.1506
14.3258,0.1506
14.326,0.1496
14.3262,0.1498
14.3264,0.1506
14.3266,0.1494
14.3268,0.1502
14.327,0.1504
14.3272,0.1512
14.3274,0.1514
14.3276,0.15
14.3278,0.1502
14.328,0.1498
14.3282,0.15
14.3284,0.1508
14.3286,0.1498
14.3288,0.15
14.329,0.151
14.3292,0.15
14.3294,0.1492
14.3296,0.1504
14.3298,0.1508
14.33,0.1498
14.3302,0.15
14.3304,0.15
14.3306,0.151
14.3308,0.1506
14.331,0.1502
14.3312,0.1498
14.3314,0.15
14.3316,0.1512
14.3318,0.1504
14.332,0.1506
14.3322,0.1506
14.3324,0.15
14.3326,0.1502
14.3328,0.1506
14.333,0.1508
14.3332,0.15
14.3334,0.1498
14.3336,0.1506
14.3338,0.15
14.334,0.1496
14.3342,0.1496
14.3344,0.1502
14.3346,0.1504
14.3348,0.1508
14.335,0.1494
14.3352,0.15
14.3354,0.1508
14.3356,0.1502
14.3358,0.1506
14.336,0.1508
14.3362,0.1504
14.3364,0.15
14.3366,0.1502
14.3368,0.15
14.337,0.1504
14.3372,0.15
14.3374,0.1504
14.3376,0.1508
14.3378,0.15
14.338,0.151
14.3382,0.1504
14.3384,0.151
14.3386,0.15
14.3388,0.1496
14.339,0.15
14.3392,0.151
14.3394,0.151
14.3396,0.1504
14.3398,0.15
14.34,0.1508
14.3402,0.1498
14.3404,0.1502
14.3406,0.1506
