t,V
8.89,0.016
8.892,0.016
8.894,0.016
8.896,0.016
8.898,0.016
8.9,0.016
8.902,0.008
8.904,0.008
8.906,0.008
8.908,0.016
8.91,0.008
8.912,0.016
8.914,0.016
8.916,0.016
8.918,0.016
8.92,0.016
8.922,0.008
8.924,0.016
8.926,0.016
8.928,0.016
8.93,0.016
8.932,0.016
8.934,0.016
8.936,0.016
8.938,0.016
8.94,0.016
8.942,0.016
8.944,0.016
8.946,0.016
8.948,0.016
8.95,0.016
8.952,0.016
8.954,0.016
8.956,0.016
8.958,0.016
8.96,0.016
8.962,0.008
8.964,0.016
8.966,0.016
8.968,0.016
8.97,0.008
8.972,0.016
8.974,0.016
8.976,0.016
8.978,0.016
8.98,0.016
8.982,0.024
8.984,0.016
8.986,0.016
8.988,0.016
8.99,0.016
8.992,0.016
8.994,0.016
8.996,0.016
8.998,0.016
9,0.016
9.002,0.016
9.004,0.016
9.006,0.008
9.008,0.016
9.01,0.016
9.012,0.016
9.014,0.016
9.016,0.016
9.018,0.016
9.02,0.016
9.022,0.016
9.024,0.016
9.026,0.016
9.028,0.016
9.03,0.016
9.032,0.016
9.034,0.016
9.036,0.016
9.038,0.016
9.04,0.008
9.042,0.016
9.044,0.016
9.046,0.016
9.048,0.016
9.05,0.016
9.052,0.016
9.054,0.016
9.056,0.016
9.058,0.016
9.06,0.016
9.062,0.016
9.064,0.016
9.066,0.016
9.068,0.016
9.07,0.016
9.072,0.016
9.074,0.016
9.076,0.016
9.078,0.016
9.08,0.008
9.082,0.016
9.084,0.016
9.086,0.008
9.088,0.016
9.09,0.016
9.092,0.016
9.094,0.016
9.096,0.016
9.098,0.016
9.1,0.016
9.102,0.016
9.104,0.016
9.106,0.016
9.108,0.016
9.11,0.016
9.112,0.016
9.114,0.016
9.116,0.016
9.118,0.016
9.12,0.008
9.122,0.016
9.124,0.016
9.126,0.016
9.128,0.016
9.13,0.016
9.132,0.016
9.134,0.024
9.136,0.016
9.138,0.024
9.14,0.016
9.142,0.016
9.144,0.016
9.146,0.016
9.148,0.016
9.15,0.016
9.152,0.016
9.154,0.024
9.156,0.016
9.158,0.016
9.16,0.016
9.162,0.016
9.164,0.024
9.166,0.016
9.168,0.016
9.17,0.016
9.172,0.016
9.174,0.016
9.176,0.016
9.178,0.016
9.18,0.024
9.182,0.016
9.184,0.024
9.186,0.024
9.188,0.024
9.19,0.024
9.192,0.016
9.194,0.016
9.196,0.024
9.198,0.016
9.2,0.016
9.202,0.016
9.204,0.024
9.206,0.024
9.208,0.016
9.21,0.024
9.212,0.024
9.214,0.024
9.216,0.016
9.218,0.016
9.22,0.016
9.222,0.024
9.224,0.024
9.226,0.016
9.228,0.016
9.23,0.016
9.232,0.024
9.234,0.024
9.236,0.024
9.238,0.024
9.24,0.024
9.242,0.024
9.244,0.024
9.246,0.024
9.248,0.016
9.25,0.016
9.252,0.016
9.254,0.024
9.256,0.016
9.258,0.024
9.26,0.016
9.262,0.016
9.264,0.016
9.266,0.024
9.268,0.016
9.27,0.016
9.272,0.024
9.274,0.024
9.276,0.024
9.278,0.016
9.28,0.024
9.282,0.016
9.284,0.016
9.286,0.016
9.288,0.016
9.29,0.016
9.292,0.024
9.294,0.024
9.296,0.024
9.298,0.024
9.3,0.024
9.302,0.016
9.304,0.016
9.306,0.016
9.308,0.024
9.31,0.016
9.312,0.016
9.314,0.024
9.316,0.024
9.318,0.016
9.32,0.024
9.322,0.024
9.324,0.016
9.326,0.024
9.328,0.016
9.33,0.024
9.332,0.016
9.334,0.024
9.336,0.016
9.338,0.024
9.34,0.024
9.342,0.024
9.344,0.024
9.346,0.024
9.348,0.024
9.35,0.024
9.352,0.024
9.354,0.024
9.356,0.024
9.358,0.024
9.36,0.024
9.362,0.024
9.364,0.024
9.366,0.024
9.368,0.024
9.37,0.024
9.372,0.024
9.374,0.024
9.376,0.024
9.378,0.024
9.38,0.024
9.382,0.024
9.384,0.024
9.386,0.024
9.388,0.024
9.39,0.024
9.392,0.024
9.394,0.024
9.396,0.024
9.398,0.024
9.4,0.024
9.402,0.024
9.404,0.024
9.406,0.032
9.408,0.024
9.41,0.024
9.412,0.024
9.414,0.024
9.416,0.024
9.418,0.024
9.42,0.024
9.422,0.024
9.424,0.024
9.426,0.032
9.428,0.024
9.43,0.024
9.432,0.024
9.434,0.032
9.436,0.024
9.438,0.024
9.44,0.024
9.442,0.024
9.444,0.032
9.446,0.024
9.448,0.032
9.45,0.032
9.452,0.032
9.454,0.032
9.456,0.032
9.458,0.024
9.46,0.032
9.462,0.032
9.464,0.032
9.466,0.032
9.468,0.024
9.47,0.032
9.472,0.024
9.474,0.032
9.476,0.024
9.478,0.024
9.48,0.024
9.482,0.024
9.484,0.032
9.486,0.024
9.488,0.032
9.49,0.024
9.492,0.032
9.494,0.032
9.496,0.032
9.498,0.032
9.5,0.024
9.502,0.024
9.504,0.032
9.506,0.024
9.508,0.024
9.51,0.024
9.512,0.032
9.514,0.032
9.516,0.032
9.518,0.024
9.52,0.032
9.522,0.024
9.524,0.032
9.526,0.024
9.528,0.032
9.53,0.032
9.532,0.032
9.534,0.032
9.536,0.032
9.538,0.024
9.54,0.032
9.542,0.032
9.544,0.04
9.546,0.032
9.548,0.032
9.55,0.032
9.552,0.032
9.554,0.032
9.556,0.032
9.558,0.032
9.56,0.032
9.562,0.032
9.564,0.032
9.566,0.032
9.568,0.032
9.57,0.032
9.572,0.032
9.574,0.04
9.576,0.04
9.578,0.04
9.58,0.04
9.582,0.032
9.584,0.032
9.586,0.04
9.588,0.04
9.59,0.04
9.592,0.04
9.594,0.04
9.596,0.04
9.598,0.04
9.6,0.04
9.602,0.04
9.604,0.04
9.606,0.032
9.608,0.04
9.61,0.04
9.612,0.04
9.614,0.032
9.616,0.04
9.618,0.04
9.62,0.04
9.622,0.04
9.624,0.04
9.626,0.04
9.628,0.04
9.63,0.04
9.632,0.04
9.634,0.04
9.636,0.032
9.638,0.04
9.64,0.032
9.642,0.04
9.644,0.04
9.646,0.04
9.648,0.04
9.65,0.04
9.652,0.04
9.654,0.04
9.656,0.04
9.658,0.04
9.66,0.04
9.662,0.04
9.664,0.04
9.666,0.048
9.668,0.04
9.67,0.04
9.672,0.048
9.674,0.048
9.676,0.048
9.678,0.048
9.68,0.048
9.682,0.04
9.684,0.048
9.686,0.048
9.688,0.048
9.69,0.048
9.692,0.048
9.694,0.056
9.696,0.056
9.698,0.056
9.7,0.056
9.702,0.056
9.704,0.056
9.706,0.056
9.708,0.056
9.71,0.056
9.712,0.056
9.714,0.056
9.716,0.056
9.718,0.056
9.72,0.056
9.722,0.056
9.724,0.064
9.726,0.056
9.728,0.064
9.73,0.064
9.732,0.064
9.734,0.064
9.736,0.056
9.738,0.064
9.74,0.064
9.742,0.064
9.744,0.064
9.746,0.064
9.748,0.064
9.75,0.064
9.752,0.064
9.754,0.064
9.756,0.064
9.758,0.064
9.76,0.064
9.762,0.064
9.764,0.072
9.766,0.064
9.768,0.064
9.77,0.064
9.772,0.064
9.774,0.064
9.776,0.064
9.778,0.064
9.78,0.064
9.782,0.064
9.784,0.064
9.786,0.064
9.788,0.072
9.79,0.072
9.792,0.072
9.794,0.072
9.796,0.072
9.798,0.08
9.8,0.072
9.802,0.072
9.804,0.08
9.806,0.072
9.808,0.08
9.81,0.08
9.812,0.088
9.814,0.088
9.816,0.088
9.818,0.088
9.82,0.088
9.822,0.088
9.824,0.096
9.826,0.096
9.828,0.088
9.83,0.096
9.832,0.096
9.834,0.096
9.836,0.096
9.838,0.096
9.84,0.104
9.842,0.104
9.844,0.096
9.846,0.096
9.848,0.104
9.85,0.104
9.852,0.112
9.854,0.104
9.856,0.104
9.858,0.112
9.86,0.112
9.862,0.112
9.864,0.112
9.866,0.112
9.868,0.12
9.87,0.112
9.872,0.12
9.874,0.12
9.876,0.128
9.878,0.12
9.88,0.128
9.882,0.128
9.884,0.128
9.886,0.128
9.888,0.128
9.89,0.128
9.892,0.128
9.894,0.136
9.896,0.136
9.898,0.128
9.9,0.128
9.902,0.136
9.904,0.136
9.906,0.136
9.908,0.136
9.91,0.136
9.912,0.136
9.914,0.144
9.916,0.136
9.918,0.144
9.92,0.144
9.922,0.144
9.924,0.144
9.926,0.16
9.928,0.16
9.93,0.168
9.932,0.176
9.934,0.168
9.936,0.176
9.938,0.176
9.94,0.176
9.942,0.184
9.944,0.184
9.946,0.192
9.948,0.184
9.95,0.184
9.952,0.184
9.954,0.184
9.956,0.192
9.958,0.184
9.96,0.192
9.962,0.192
9.964,0.192
9.966,0.192
9.968,0.2
9.97,0.192
9.972,0.208
9.974,0.208
9.976,0.216
9.978,0.248
9.98,0.256
9.982,0.272
9.984,0.272
9.986,0.264
9.988,0.288
9.99,0.288
9.992,0.288
9.994,0.312
9.996,0.312
9.998,0.32
10,0.32
10.002,0.32
10.004,0.32
10.006,0.32
10.008,0.32
10.01,0.328
10.012,0.328
10.014,0.336
10.016,0.344
10.018,0.344
10.02,0.344
10.022,0.36
10.024,0.368
10.026,0.36
10.028,0.384
10.03,0.384
10.032,0.384
10.034,0.384
10.036,0.384
10.038,0.376
10.04,0.392
10.042,0.376
10.044,0.4
10.046,0.392
10.048,0.384
10.05,0.432
10.052,0.488
10.054,0.456
10.056,0.536
10.058,0.568
10.06,0.568
10.062,0.528
10.064,0.504
10.066,0.488
10.068,0.48
10.07,0.496
10.072,0.52
10.074,0.688
10.076,0.568
10.078,0.488
10.08,0.64
10.082,0.504
10.084,0.44
10.086,0.424
10.088,0.432
10.09,0.24
10.092,0.288
10.094,0.2
10.096,0.152
10.098,0.136
10.1,0.112
10.102,0.104
10.104,0.096
10.106,0.064
10.108,0.04
10.11,0.048
10.112,0.032
10.114,0.032
10.116,0.032
10.118,0.032
10.12,0.032
10.122,0.032
10.124,0.024
10.126,0.024
10.128,0.024
10.13,0.024
10.132,0.024
10.134,0.024
10.136,0.024
10.138,0.024
10.14,0.024
10.142,0.024
10.144,0.024
10.146,0.016
10.148,0.024
10.15,0.016
10.152,0.016
10.154,0.016
10.156,0.024
10.158,0.016
10.16,0.016
10.162,0.016
10.164,0.016
10.166,0.016
10.168,0.016
10.17,0.016
10.172,0.016
10.174,0.016
10.176,0.008
10.178,0.016
10.18,0.016
10.182,0.016
10.184,0.016
10.186,0.016
10.188,0.008
10.19,0.008
10.192,0.016
10.194,0.016
10.196,0.016
