t,V
4.412,1.648
4.4122,1.648
4.4124,1.648
4.4126,1.648
4.4128,1.648
4.413,1.648
4.4132,1.648
4.4134,1.648
4.4136,1.648
4.4138,1.648
4.414,1.648
4.4142,1.64
4.4144,1.64
4.4146,1.648
4.4148,1.648
4.415,1.64
4.4152,1.64
4.4154,1.648
4.4156,1.64
4.4158,1.648
4.416,1.648
4.4162,1.648
4.4164,1.648
4.4166,1.648
4.4168,1.64
4.417,1.648
4.4172,1.648
4.4174,1.64
4.4176,1.648
4.4178,1.648
4.418,1.648
4.4182,1.64
4.4184,1.64
4.4186,1.64
4.4188,1.648
4.419,1.648
4.4192,1.64
4.4194,1.648
4.4196,1.64
4.4198,1.64
4.42,1.64
4.4202,1.648
4.4204,1.64
4.4206,1.64
4.4208,1.64
4.421,1.64
4.4212,1.64
4.4214,1.64
4.4216,1.64
4.4218,1.64
4.422,1.64
4.4222,1.64
4.4224,1.648
4.4226,1.64
4.4228,1.64
4.423,1.64
4.4232,1.64
4.4234,1.64
4.4236,1.64
4.4238,1.64
4.424,1.64
4.4242,1.64
4.4244,1.64
4.4246,1.64
4.4248,1.64
4.425,1.64
4.4252,1.64
4.4254,1.64
4.4256,1.64
4.4258,1.64
4.426,1.64
4.4262,1.64
4.4264,1.64
4.4266,1.64
4.4268,1.64
4.427,1.64
4.4272,1.64
4.4274,1.64
4.4276,1.64
4.4278,1.64
4.428,1.64
4.4282,1.64
4.4284,1.64
4.4286,1.64
4.4288,1.64
4.429,1.632
4.4292,1.64
4.4294,1.64
4.4296,1.64
4.4298,1.64
4.43,1.64
4.4302,1.64
4.4304,1.64
4.4306,1.64
4.4308,1.64
4.431,1.64
4.4312,1.64
4.4314,1.64
4.4316,1.64
4.4318,1.64
4.432,1.64
4.4322,1.64
4.4324,1.632
4.4326,1.64
4.4328,1.64
4.433,1.64
4.4332,1.64
4.4334,1.632
4.4336,1.64
4.4338,1.64
4.434,1.64
4.4342,1.64
4.4344,1.64
4.4346,1.64
4.4348,1.64
4.435,1.64
4.4352,1.632
4.4354,1.64
4.4356,1.64
4.4358,1.64
4.436,1.632
4.4362,1.64
4.4364,1.632
4.4366,1.64
4.4368,1.64
4.437,1.64
4.4372,1.64
4.4374,1.64
4.4376,1.64
4.4378,1.64
4.438,1.64
4.4382,1.64
4.4384,1.64
4.4386,1.632
4.4388,1.64
4.439,1.632
4.4392,1.632
4.4394,1.632
4.4396,1.64
4.4398,1.64
4.44,1.64
4.4402,1.64
4.4404,1.64
4.4406,1.632
4.4408,1.64
4.441,1.632
4.4412,1.64
4.4414,1.64
4.4416,1.64
4.4418,1.64
4.442,1.632
4.4422,1.632
4.4424,1.64
4.4426,1.632
4.4428,1.632
4.443,1.632
4.4432,1.64
4.4434,1.632
4.4436,1.632
4.4438,1.632
4.444,1.632
4.4442,1.632
4.4444,1.632
4.4446,1.632
4.4448,1.632
4.445,1.632
4.4452,1.632
4.4454,1.64
4.4456,1.64
4.4458,1.64
4.446,1.632
4.4462,1.632
4.4464,1.632
4.4466,1.64
4.4468,1.632
4.447,1.632
4.4472,1.64
4.4474,1.632
4.4476,1.632
4.4478,1.632
4.448,1.632
4.4482,1.632
4.4484,1.632
4.4486,1.632
4.4488,1.624
4.449,1.64
4.4492,1.632
4.4494,1.632
4.4496,1.632
4.4498,1.632
4.45,1.632
4.4502,1.632
4.4504,1.632
4.4506,1.632
4.4508,1.632
4.451,1.632
4.4512,1.632
4.4514,1.632
4.4516,1.632
4.4518,1.632
4.452,1.632
4.4522,1.632
4.4524,1.632
4.4526,1.632
4.4528,1.632
4.453,1.624
4.4532,1.632
4.4534,1.632
4.4536,1.632
4.4538,1.632
4.454,1.632
4.4542,1.632
4.4544,1.624
4.4546,1.632
4.4548,1.632
4.455,1.632
4.4552,1.632
4.4554,1.632
4.4556,1.624
4.4558,1.632
4.456,1.624
4.4562,1.632
4.4564,1.632
4.4566,1.624
4.4568,1.624
4.457,1.624
4.4572,1.632
4.4574,1.624
4.4576,1.624
4.4578,1.624
4.458,1.624
4.4582,1.624
4.4584,1.624
4.4586,1.632
4.4588,1.624
4.459,1.624
4.4592,1.624
4.4594,1.624
4.4596,1.624
4.4598,1.624
4.46,1.624
4.4602,1.632
4.4604,1.632
4.4606,1.624
4.4608,1.624
4.461,1.632
4.4612,1.624
4.4614,1.624
4.4616,1.624
4.4618,1.624
4.462,1.624
4.4622,1.624
4.4624,1.624
4.4626,1.624
4.4628,1.624
4.463,1.624
4.4632,1.624
4.4634,1.624
4.4636,1.624
4.4638,1.624
4.464,1.624
4.4642,1.624
4.4644,1.624
4.4646,1.624
4.4648,1.624
4.465,1.624
4.4652,1.624
4.4654,1.624
4.4656,1.624
4.4658,1.624
4.466,1.624
4.4662,1.624
4.4664,1.624
4.4666,1.624
4.4668,1.624
4.467,1.624
4.4672,1.624
4.4674,1.624
4.4676,1.624
4.4678,1.624
4.468,1.624
4.4682,1.624
4.4684,1.624
4.4686,1.624
4.4688,1.624
4.469,1.624
4.4692,1.624
4.4694,1.624
4.4696,1.624
4.4698,1.624
4.47,1.624
4.4702,1.624
4.4704,1.624
4.4706,1.624
4.4708,1.624
4.471,1.624
4.4712,1.624
4.4714,1.624
4.4716,1.616
4.4718,1.624
4.472,1.616
4.4722,1.624
4.4724,1.624
4.4726,1.624
4.4728,1.624
4.473,1.624
4.4732,1.624
4.4734,1.624
4.4736,1.624
4.4738,1.624
4.474,1.624
4.4742,1.624
4.4744,1.624
4.4746,1.624
4.4748,1.616
4.475,1.616
4.4752,1.624
4.4754,1.616
4.4756,1.624
4.4758,1.616
4.476,1.616
4.4762,1.624
4.4764,1.624
4.4766,1.624
4.4768,1.624
4.477,1.624
4.4772,1.616
4.4774,1.616
4.4776,1.624
4.4778,1.616
4.478,1.616
4.4782,1.616
4.4784,1.616
4.4786,1.624
4.4788,1.616
4.479,1.624
4.4792,1.624
4.4794,1.616
4.4796,1.616
4.4798,1.616
4.48,1.616
4.4802,1.624
4.4804,1.624
4.4806,1.616
4.4808,1.616
4.481,1.616
4.4812,1.616
4.4814,1.616
4.4816,1.616
4.4818,1.616
4.482,1.616
4.4822,1.616
4.4824,1.624
4.4826,1.616
4.4828,1.616
4.483,1.616
4.4832,1.616
4.4834,1.616
4.4836,1.616
4.4838,1.616
4.484,1.616
4.4842,1.616
4.4844,1.616
4.4846,1.616
4.4848,1.616
4.485,1.616
4.4852,1.624
4.4854,1.616
4.4856,1.616
4.4858,1.616
4.486,1.616
4.4862,1.616
4.4864,1.616
4.4866,1.616
4.4868,1.616
4.487,1.616
4.4872,1.616
4.4874,1.616
4.4876,1.616
4.4878,1.616
4.488,1.616
4.4882,1.608
4.4884,1.616
4.4886,1.616
4.4888,1.616
4.489,1.616
4.4892,1.616
4.4894,1.616
4.4896,1.616
4.4898,1.616
4.49,1.616
4.4902,1.616
4.4904,1.608
4.4906,1.616
4.4908,1.616
4.491,1.608
4.4912,1.616
4.4914,1.616
4.4916,1.616
4.4918,1.608
4.492,1.608
4.4922,1.616
4.4924,1.608
4.4926,1.608
4.4928,1.616
4.493,1.608
4.4932,1.608
4.4934,1.608
4.4936,1.608
4.4938,1.608
4.494,1.608
4.4942,1.608
4.4944,1.608
4.4946,1.608
4.4948,1.616
4.495,1.608
4.4952,1.608
4.4954,1.608
4.4956,1.616
4.4958,1.616
4.496,1.616
4.4962,1.608
4.4964,1.608
4.4966,1.608
4.4968,1.616
4.497,1.608
4.4972,1.608
4.4974,1.608
4.4976,1.608
4.4978,1.608
4.498,1.608
4.4982,1.608
4.4984,1.608
4.4986,1.616
4.4988,1.608
4.499,1.608
4.4992,1.608
4.4994,1.608
4.4996,1.608
4.4998,1.608
4.5,1.608
4.5002,1.608
4.5004,1.608
4.5006,1.608
4.5008,1.608
4.501,1.608
4.5012,1.608
4.5014,1.6
4.5016,1.608
4.5018,1.608
4.502,1.608
4.5022,1.608
4.5024,1.608
4.5026,1.608
4.5028,1.608
4.503,1.608
4.5032,1.608
4.5034,1.608
4.5036,1.608
4.5038,1.608
4.504,1.608
4.5042,1.608
4.5044,1.608
4.5046,1.608
4.5048,1.6
4.505,1.608
4.5052,1.608
4.5054,1.608
4.5056,1.6
4.5058,1.6
4.506,1.608
4.5062,1.608
4.5064,1.608
4.5066,1.608
4.5068,1.608
4.507,1.608
4.5072,1.6
4.5074,1.6
4.5076,1.608
4.5078,1.608
4.508,1.608
4.5082,1.6
4.5084,1.608
4.5086,1.6
4.5088,1.608
4.509,1.6
4.5092,1.608
4.5094,1.608
4.5096,1.6
4.5098,1.608
4.51,1.6
4.5102,1.6
4.5104,1.608
4.5106,1.608
4.5108,1.6
4.511,1.6
4.5112,1.608
4.5114,1.6
4.5116,1.6
4.5118,1.6
4.512,1.6
4.5122,1.6
4.5124,1.608
4.5126,1.608
4.5128,1.6
4.513,1.608
4.5132,1.6
4.5134,1.6
4.5136,1.6
4.5138,1.6
4.514,1.6
4.5142,1.6
4.5144,1.6
4.5146,1.6
4.5148,1.6
4.515,1.6
4.5152,1.6
4.5154,1.6
4.5156,1.6
4.5158,1.608
4.516,1.6
4.5162,1.6
4.5164,1.6
4.5166,1.6
4.5168,1.6
4.517,1.6
4.5172,1.6
4.5174,1.6
4.5176,1.6
4.5178,1.6
4.518,1.6
4.5182,1.6
4.5184,1.6
4.5186,1.6
4.5188,1.6
4.519,1.6
4.5192,1.6
4.5194,1.6
4.5196,1.6
4.5198,1.6
4.52,1.6
4.5202,1.6
4.5204,1.6
4.5206,1.6
4.5208,1.6
4.521,1.6
4.5212,1.6
4.5214,1.6
4.5216,1.6
4.5218,1.6
4.522,1.6
4.5222,1.592
4.5224,1.6
4.5226,1.6
4.5228,1.6
4.523,1.6
4.5232,1.6
4.5234,1.6
4.5236,1.6
4.5238,1.6
4.524,1.6
4.5242,1.592
4.5244,1.6
4.5246,1.6
4.5248,1.6
4.525,1.6
4.5252,1.592
4.5254,1.592
4.5256,1.6
4.5258,1.592
4.526,1.6
4.5262,1.592
4.5264,1.592
4.5266,1.592
4.5268,1.592
4.527,1.592
4.5272,1.592
4.5274,1.592
4.5276,1.592
4.5278,1.592
4.528,1.592
4.5282,1.592
4.5284,1.592
4.5286,1.592
4.5288,1.592
4.529,1.584
4.5292,1.592
4.5294,1.592
4.5296,1.592
4.5298,1.592
4.53,1.592
4.5302,1.592
4.5304,1.584
4.5306,1.592
4.5308,1.584
4.531,1.584
4.5312,1.584
4.5314,1.584
4.5316,1.584
4.5318,1.584
4.532,1.584
4.5322,1.584
4.5324,1.584
4.5326,1.584
4.5328,1.584
4.533,1.584
4.5332,1.584
4.5334,1.584
4.5336,1.584
4.5338,1.576
4.534,1.584
4.5342,1.584
4.5344,1.576
4.5346,1.576
4.5348,1.576
4.535,1.576
4.5352,1.576
4.5354,1.576
4.5356,1.576
4.5358,1.576
4.536,1.568
4.5362,1.568
4.5364,1.568
4.5366,1.568
4.5368,1.568
4.537,1.568
4.5372,1.568
4.5374,1.568
4.5376,1.56
4.5378,1.56
4.538,1.568
4.5382,1.56
4.5384,1.56
4.5386,1.56
4.5388,1.552
