t,V
4.18,0.016
4.1802,0.016
4.1804,0.016
4.1806,0.016
4.1808,0.016
4.181,0.016
4.1812,0.016
4.1814,0.016
4.1816,0.016
4.1818,0.016
4.182,0.016
4.1822,0.024
4.1824,0.016
4.1826,0.016
4.1828,0.016
4.183,0.016
4.1832,0.016
4.1834,0.016
4.1836,0.016
4.1838,0.016
4.184,0.016
4.1842,0.016
4.1844,0.016
4.1846,0.016
4.1848,0.016
4.185,0.016
4.1852,0.016
4.1854,0.024
4.1856,0.016
4.1858,0.016
4.186,0.016
4.1862,0.024
4.1864,0.016
4.1866,0.024
4.1868,0.016
4.187,0.016
4.1872,0.016
4.1874,0.016
4.1876,0.016
4.1878,0.016
4.188,0.016
4.1882,0.016
4.1884,0.024
4.1886,0.024
4.1888,0.024
4.189,0.016
4.1892,0.024
4.1894,0.016
4.1896,0.016
4.1898,0.024
4.19,0.024
4.1902,0.024
4.1904,0.024
4.1906,0.024
4.1908,0.016
4.191,0.024
4.1912,0.016
4.1914,0.024
4.1916,0.024
4.1918,0.024
4.192,0.024
4.1922,0.024
4.1924,0.024
4.1926,0.024
4.1928,0.024
4.193,0.024
4.1932,0.024
4.1934,0.024
4.1936,0.032
4.1938,0.024
4.194,0.024
4.1942,0.024
4.1944,0.032
4.1946,0.032
4.1948,0.032
4.195,0.024
4.1952,0.032
4.1954,0.032
4.1956,0.032
4.1958,0.032
4.196,0.032
4.1962,0.04
4.1964,0.04
4.1966,0.04
4.1968,0.04
4.197,0.04
4.1972,0.04
4.1974,0.056
4.1976,0.048
4.1978,0.064
4.198,0.056
4.1982,0.072
4.1984,0.088
4.1986,0.08
4.1988,0.12
4.199,0.104
4.1992,0.136
4.1994,0.144
4.1996,0.168
4.1998,0.216
4.2,0.192
4.2002,0.224
4.2004,0.248
4.2006,0.264
4.2008,0.28
4.201,0.296
4.2012,0.312
4.2014,0.328
4.2016,0.44
4.2018,0.352
4.202,0.488
4.2022,0.56
4.2024,0.496
4.2026,0.616
4.2028,0.584
4.203,0.712
4.2032,0.672
4.2034,0.76
4.2036,0.752
4.2038,0.744
4.204,0.696
4.2042,0.744
4.2044,0.664
4.2046,0.656
4.2048,0.64
4.205,0.616
4.2052,0.624
4.2054,0.616
4.2056,0.608
4.2058,0.616
4.206,0.616
4.2062,0.608
4.2064,0.576
4.2066,0.592
4.2068,0.56
4.207,0.576
4.2072,0.552
4.2074,0.544
4.2076,0.536
4.2078,0.52
4.208,0.528
4.2082,0.472
4.2084,0.48
4.2086,0.448
4.2088,0.424
4.209,0.424
4.2092,0.432
4.2094,0.44
4.2096,0.44
4.2098,0.448
4.21,0.44
4.2102,0.44
4.2104,0.44
4.2106,0.432
4.2108,0.432
4.211,0.44
4.2112,0.424
4.2114,0.424
4.2116,0.4
4.2118,0.416
4.212,0.4
4.2122,0.4
4.2124,0.392
4.2126,0.392
4.2128,0.392
4.213,0.392
4.2132,0.392
4.2134,0.392
4.2136,0.4
4.2138,0.392
4.214,0.4
4.2142,0.4
4.2144,0.4
4.2146,0.392
4.2148,0.392
4.215,0.384
4.2152,0.384
4.2154,0.376
4.2156,0.376
4.2158,0.368
4.216,0.36
4.2162,0.36
4.2164,0.344
4.2166,0.344
4.2168,0.344
4.217,0.344
4.2172,0.336
4.2174,0.328
4.2176,0.312
4.2178,0.312
4.218,0.312
4.2182,0.296
4.2184,0.296
4.2186,0.288
4.2188,0.28
4.219,0.288
4.2192,0.272
4.2194,0.28
4.2196,0.272
4.2198,0.272
4.22,0.264
4.2202,0.272
4.2204,0.264
4.2206,0.264
4.2208,0.264
4.221,0.272
4.2212,0.264
4.2214,0.264
4.2216,0.264
4.2218,0.264
4.222,0.264
4.2222,0.264
4.2224,0.256
4.2226,0.256
4.2228,0.256
4.223,0.256
4.2232,0.256
4.2234,0.248
4.2236,0.248
4.2238,0.248
4.224,0.24
4.2242,0.232
