t,V
4.5618,1.536
4.56182,1.536
4.56184,1.536
4.56186,1.536
4.56188,1.536
4.5619,1.536
4.56192,1.532
4.56194,1.536
4.56196,1.532
4.56198,1.532
4.562,1.532
4.56202,1.532
4.56204,1.532
4.56206,1.532
4.56208,1.532
4.5621,1.532
4.56212,1.532
4.56214,1.528
4.56216,1.532
4.56218,1.532
4.5622,1.532
4.56222,1.528
4.56224,1.532
4.56226,1.528
4.56228,1.528
4.5623,1.528
4.56232,1.528
4.56234,1.528
4.56236,1.528
4.56238,1.528
4.5624,1.528
4.56242,1.528
4.56244,1.528
4.56246,1.528
4.56248,1.528
4.5625,1.528
4.56252,1.524
4.56254,1.528
4.56256,1.524
4.56258,1.528
4.5626,1.524
4.56262,1.524
4.56264,1.528
4.56266,1.524
4.56268,1.52
4.5627,1.524
4.56272,1.52
4.56274,1.524
4.56276,1.524
4.56278,1.524
4.5628,1.524
4.56282,1.524
4.56284,1.52
4.56286,1.524
4.56288,1.52
4.5629,1.524
4.56292,1.52
4.56294,1.52
4.56296,1.524
4.56298,1.52
4.563,1.52
4.56302,1.52
4.56304,1.52
4.56306,1.52
4.56308,1.52
4.5631,1.52
4.56312,1.516
4.56314,1.516
4.56316,1.52
4.56318,1.516
4.5632,1.516
4.56322,1.516
4.56324,1.516
4.56326,1.516
4.56328,1.52
4.5633,1.516
4.56332,1.516
4.56334,1.512
4.56336,1.516
4.56338,1.516
4.5634,1.512
4.56342,1.516
4.56344,1.512
4.56346,1.512
4.56348,1.512
4.5635,1.512
4.56352,1.512
4.56354,1.512
4.56356,1.512
4.56358,1.512
4.5636,1.512
4.56362,1.512
4.56364,1.512
4.56366,1.512
4.56368,1.512
4.5637,1.512
4.56372,1.512
4.56374,1.512
4.56376,1.512
4.56378,1.508
4.5638,1.508
4.56382,1.508
4.56384,1.512
4.56386,1.508
4.56388,1.508
4.5639,1.508
4.56392,1.508
4.56394,1.508
4.56396,1.508
4.56398,1.508
4.564,1.508
4.56402,1.508
4.56404,1.508
4.56406,1.504
4.56408,1.504
4.5641,1.504
4.56412,1.504
4.56414,1.504
4.56416,1.504
4.56418,1.504
4.5642,1.504
4.56422,1.504
4.56424,1.504
4.56426,1.504
4.56428,1.504
4.5643,1.504
4.56432,1.5
4.56434,1.5
4.56436,1.504
4.56438,1.504
4.5644,1.504
4.56442,1.5
4.56444,1.504
4.56446,1.504
4.56448,1.5
4.5645,1.504
4.56452,1.5
4.56454,1.5
4.56456,1.504
4.56458,1.5
4.5646,1.5
4.56462,1.5
4.56464,1.5
4.56466,1.5
4.56468,1.5
4.5647,1.5
4.56472,1.5
4.56474,1.5
4.56476,1.496
4.56478,1.496
4.5648,1.496
4.56482,1.496
4.56484,1.496
4.56486,1.5
4.56488,1.496
4.5649,1.492
4.56492,1.5
4.56494,1.496
4.56496,1.496
4.56498,1.492
4.565,1.496
4.56502,1.496
4.56504,1.496
4.56506,1.492
4.56508,1.492
4.5651,1.492
4.56512,1.492
4.56514,1.492
4.56516,1.492
4.56518,1.492
4.5652,1.492
4.56522,1.492
4.56524,1.492
4.56526,1.492
4.56528,1.492
4.5653,1.488
4.56532,1.492
4.56534,1.488
4.56536,1.488
4.56538,1.488
4.5654,1.488
4.56542,1.488
4.56544,1.488
4.56546,1.488
4.56548,1.488
4.5655,1.484
4.56552,1.484
4.56554,1.484
4.56556,1.488
4.56558,1.484
4.5656,1.484
4.56562,1.484
4.56564,1.48
4.56566,1.48
4.56568,1.48
4.5657,1.48
4.56572,1.484
4.56574,1.48
4.56576,1.48
4.56578,1.48
4.5658,1.48
4.56582,1.48
4.56584,1.48
4.56586,1.48
4.56588,1.476
4.5659,1.48
4.56592,1.48
4.56594,1.48
4.56596,1.476
4.56598,1.476
4.566,1.476
4.56602,1.476
4.56604,1.476
4.56606,1.476
4.56608,1.476
4.5661,1.476
4.56612,1.476
4.56614,1.476
4.56616,1.476
4.56618,1.472
4.5662,1.472
4.56622,1.472
4.56624,1.472
4.56626,1.472
4.56628,1.472
4.5663,1.472
4.56632,1.472
4.56634,1.472
4.56636,1.472
4.56638,1.472
4.5664,1.472
4.56642,1.472
4.56644,1.468
4.56646,1.472
4.56648,1.472
4.5665,1.472
4.56652,1.468
4.56654,1.468
4.56656,1.468
4.56658,1.468
4.5666,1.468
4.56662,1.468
4.56664,1.468
4.56666,1.468
4.56668,1.464
4.5667,1.464
4.56672,1.464
4.56674,1.464
4.56676,1.464
4.56678,1.464
4.5668,1.464
4.56682,1.464
4.56684,1.464
4.56686,1.464
4.56688,1.46
4.5669,1.464
4.56692,1.46
4.56694,1.464
4.56696,1.46
4.56698,1.46
4.567,1.464
4.56702,1.46
4.56704,1.46
4.56706,1.46
4.56708,1.46
4.5671,1.46
4.56712,1.456
4.56714,1.46
4.56716,1.456
4.56718,1.456
4.5672,1.456
4.56722,1.456
4.56724,1.452
4.56726,1.452
4.56728,1.452
4.5673,1.456
4.56732,1.456
4.56734,1.452
4.56736,1.456
4.56738,1.452
4.5674,1.452
4.56742,1.452
4.56744,1.452
4.56746,1.452
4.56748,1.452
4.5675,1.448
4.56752,1.452
4.56754,1.452
4.56756,1.452
4.56758,1.448
4.5676,1.448
4.56762,1.448
4.56764,1.448
4.56766,1.448
4.56768,1.448
4.5677,1.448
4.56772,1.448
4.56774,1.448
4.56776,1.448
4.56778,1.444
4.5678,1.444
4.56782,1.448
4.56784,1.448
4.56786,1.444
4.56788,1.444
4.5679,1.444
4.56792,1.444
4.56794,1.444
4.56796,1.444
4.56798,1.444
4.568,1.444
4.56802,1.444
4.56804,1.444
4.56806,1.44
4.56808,1.44
4.5681,1.44
4.56812,1.44
4.56814,1.44
4.56816,1.44
4.56818,1.44
4.5682,1.44
4.56822,1.436
4.56824,1.44
4.56826,1.44
4.56828,1.44
4.5683,1.436
4.56832,1.436
4.56834,1.436
4.56836,1.436
4.56838,1.436
4.5684,1.436
4.56842,1.436
4.56844,1.436
4.56846,1.436
4.56848,1.436
4.5685,1.436
4.56852,1.436
4.56854,1.436
4.56856,1.432
4.56858,1.436
4.5686,1.436
4.56862,1.436
4.56864,1.432
4.56866,1.432
4.56868,1.432
4.5687,1.432
4.56872,1.432
4.56874,1.432
4.56876,1.432
4.56878,1.428
4.5688,1.432
4.56882,1.428
4.56884,1.428
4.56886,1.428
4.56888,1.428
4.5689,1.428
4.56892,1.428
4.56894,1.424
4.56896,1.428
4.56898,1.428
4.569,1.428
4.56902,1.428
4.56904,1.424
4.56906,1.424
4.56908,1.424
4.5691,1.424
4.56912,1.428
4.56914,1.424
4.56916,1.424
4.56918,1.424
4.5692,1.424
4.56922,1.424
4.56924,1.424
4.56926,1.42
4.56928,1.42
4.5693,1.42
4.56932,1.424
4.56934,1.42
4.56936,1.42
4.56938,1.416
