t,V
0.1234,0.012
0.1236,0.012
0.1238,0.016
0.124,0.012
0.1242,0.012
0.1244,0.012
0.1246,0.012
0.1248,0.012
0.125,0.008
0.1252,0.012
0.1254,0.012
0.1256,0.012
0.1258,0.012
0.126,0.012
0.1262,0.012
0.1264,0.012
0.1266,0.012
0.1268,0.012
0.127,0
0.1272,-0.004
0.1274,0.004
0.1276,-0.004
0.1278,-0.004
0.128,0.012
0.1282,0.012
0.1284,0.008
0.1286,0.012
0.1288,0.008
0.129,0.008
0.1292,0.012
0.1294,0.008
0.1296,0.008
0.1298,0.012
0.13,0.012
0.1302,0.012
0.1304,0.008
0.1306,0.012
0.1308,0.012
0.131,0.008
0.1312,0.008
0.1314,0.012
0.1316,0.008
0.1318,0.008
0.132,0.012
0.1322,0.012
0.1324,0.008
0.1326,0.008
0.1328,0.012
0.133,0.012
0.1332,0.012
0.1334,0.012
0.1336,0.008
0.1338,0.008
0.134,0.008
0.1342,0.008
0.1344,0.012
0.1346,0.008
0.1348,0.008
0.135,0.008
0.1352,0.008
0.1354,0.012
0.1356,0.012
0.1358,0.012
0.136,0.008
0.1362,0.008
0.1364,0.004
0.1366,0.012
0.1368,0.008
0.137,0.008
0.1372,0.008
0.1374,0.008
0.1376,0.008
0.1378,0.008
0.138,0
0.1382,0
0.1384,0
0.1386,0
0.1388,0
0.139,0.008
0.1392,0.012
0.1394,0.008
0.1396,0.008
0.1398,0.008
0.14,0.008
0.1402,0.008
0.1404,0.008
0.1406,0.012
0.1408,0.008
0.141,0.008
0.1412,0.008
0.1414,0.008
0.1416,0.012
0.1418,0.008
0.142,0.008
0.1422,0.008
0.1424,0.008
0.1426,0.008
0.1428,0.012
0.143,0.008
0.1432,0.008
0.1434,0.008
0.1436,0.012
0.1438,0.008
0.144,0.008
0.1442,0.008
0.1444,0.008
0.1446,0.008
0.1448,0.008
0.145,0.012
0.1452,0.012
0.1454,0.008
0.1456,0.008
0.1458,0.008
0.146,0.008
0.1462,0.008
0.1464,0.008
0.1466,0.008
0.1468,0.008
0.147,0.008
0.1472,0.008
0.1474,0.008
0.1476,0.008
0.1478,0.008
0.148,0.008
0.1482,0.012
0.1484,0.008
0.1486,0.008
0.1488,0.008
0.149,0.008
0.1492,-0.004
0.1494,-0.004
0.1496,0
0.1498,0
0.15,0
0.1502,0.008
0.1504,0.008
0.1506,0.008
0.1508,0.008
0.151,0.008
0.1512,0.008
0.1514,0.008
0.1516,0.008
0.1518,0.008
0.152,0.008
0.1522,0.008
0.1524,0.008
0.1526,0.008
0.1528,0.008
0.153,0.012
0.1532,0.008
0.1534,0.008
0.1536,0.012
0.1538,0.008
0.154,0.008
0.1542,0.008
0.1544,0.012
0.1546,0.008
0.1548,0.012
0.155,0.012
0.1552,0.012
0.1554,0.012
0.1556,0.012
0.1558,0.008
0.156,0.008
0.1562,0.008
0.1564,0.012
0.1566,0.012
0.1568,0.008
0.157,0.008
0.1572,0.012
0.1574,0.008
0.1576,0.012
0.1578,0.008
0.158,0.008
0.1582,0.008
0.1584,0.008
0.1586,0.008
0.1588,0.008
0.159,0.008
0.1592,0.012
0.1594,0.012
0.1596,0.008
0.1598,0.008
0.16,0.012
0.1602,0
0.1604,0
0.1606,0
0.1608,0
0.161,0
0.1612,0.008
0.1614,0.012
0.1616,0.008
0.1618,0.008
0.162,0.008
0.1622,0.008
0.1624,0.012
0.1626,0.008
0.1628,0.008
