t,V
0.2012,0.2536
0.2014,0.2536
0.2016,0.2536
0.2018,0.2528
0.202,0.2536
0.2022,0.252
0.2024,0.252
0.2026,0.2528
0.2028,0.2528
0.203,0.2536
0.2032,0.2528
0.2034,0.2528
0.2036,0.2536
0.2038,0.2536
0.204,0.252
0.2042,0.2528
0.2044,0.2528
0.2046,0.2528
0.2048,0.2536
0.205,0.252
0.2052,0.252
0.2054,0.2528
0.2056,0.2528
0.2058,0.2528
0.206,0.2528
0.2062,0.252
0.2064,0.252
0.2066,0.2536
0.2068,0.2528
0.207,0.252
0.2072,0.252
0.2074,0.252
0.2076,0.2536
0.2078,0.252
0.208,0.2528
0.2082,0.252
0.2084,0.2528
0.2086,0.252
0.2088,0.2528
0.209,0.252
0.2092,0.252
0.2094,0.252
0.2096,0.252
0.2098,0.252
0.21,0.252
0.2102,0.2528
0.2104,0.2512
0.2106,0.2528
0.2108,0.252
0.211,0.252
0.2112,0.2512
0.2114,0.2528
0.2116,0.2536
0.2118,0.252
0.212,0.2512
0.2122,0.2512
0.2124,0.252
0.2126,0.252
0.2128,0.252
0.213,0.2512
0.2132,0.2512
0.2134,0.2512
0.2136,0.252
0.2138,0.252
0.214,0.252
0.2142,0.252
0.2144,0.2512
0.2146,0.252
0.2148,0.2512
0.215,0.2512
0.2152,0.2512
0.2154,0.252
0.2156,0.2512
0.2158,0.252
0.216,0.2512
0.2162,0.252
0.2164,0.2512
0.2166,0.2512
0.2168,0.2512
0.217,0.2504
0.2172,0.2512
0.2174,0.2512
0.2176,0.2504
0.2178,0.252
0.218,0.252
0.2182,0.2504
0.2184,0.2512
0.2186,0.2504
0.2188,0.2504
0.219,0.2504
0.2192,0.2504
0.2194,0.2504
0.2196,0.2504
0.2198,0.252
0.22,0.2504
0.2202,0.2504
0.2204,0.2504
0.2206,0.2512
0.2208,0.2504
0.221,0.2504
0.2212,0.2504
0.2214,0.252
0.2216,0.2512
0.2218,0.2496
0.222,0.2504
0.2222,0.2504
0.2224,0.2504
0.2226,0.2504
0.2228,0.2504
0.223,0.2504
0.2232,0.2504
0.2234,0.2512
0.2236,0.2504
0.2238,0.2504
0.224,0.2512
0.2242,0.2504
0.2244,0.2496
0.2246,0.2512
0.2248,0.2496
0.225,0.2496
0.2252,0.2496
0.2254,0.2496
0.2256,0.2496
0.2258,0.2512
0.226,0.2504
0.2262,0.2496
0.2264,0.2496
0.2266,0.2496
0.2268,0.2504
0.227,0.2496
0.2272,0.2496
0.2274,0.2504
0.2276,0.2504
0.2278,0.2504
0.228,0.2496
0.2282,0.2496
0.2284,0.2496
0.2286,0.2496
0.2288,0.2496
0.229,0.2496
0.2292,0.2504
0.2294,0.2504
0.2296,0.2504
0.2298,0.2504
0.23,0.2496
0.2302,0.2496
0.2304,0.2488
0.2306,0.2488
0.2308,0.2488
0.231,0.2496
0.2312,0.2504
0.2314,0.248
0.2316,0.2496
0.2318,0.2496
0.232,0.2496
0.2322,0.2488
0.2324,0.2496
0.2326,0.2496
0.2328,0.2488
0.233,0.2488
0.2332,0.2496
0.2334,0.2496
0.2336,0.2496
0.2338,0.2488
0.234,0.2496
0.2342,0.2496
0.2344,0.2496
0.2346,0.248
0.2348,0.2488
0.235,0.2488
0.2352,0.2496
0.2354,0.2488
0.2356,0.2496
0.2358,0.2496
0.236,0.2488
0.2362,0.2488
0.2364,0.2496
0.2366,0.2488
0.2368,0.2488
0.237,0.2488
0.2372,0.248
0.2374,0.2488
0.2376,0.2496
0.2378,0.2488
0.238,0.2488
0.2382,0.248
0.2384,0.248
0.2386,0.248
0.2388,0.2488
0.239,0.2488
0.2392,0.2488
0.2394,0.248
0.2396,0.248
0.2398,0.2488
0.24,0.248
0.2402,0.2488
0.2404,0.248
0.2406,0.248
0.2408,0.2488
0.241,0.248
0.2412,0.248
0.2414,0.248
0.2416,0.248
0.2418,0.2488
0.242,0.248
0.2422,0.248
0.2424,0.248
0.2426,0.248
0.2428,0.2488
0.243,0.248
0.2432,0.248
0.2434,0.2488
0.2436,0.248
0.2438,0.248
0.244,0.248
0.2442,0.248
0.2444,0.2488
0.2446,0.248
0.2448,0.248
0.245,0.248
0.2452,0.248
0.2454,0.248
0.2456,0.2472
0.2458,0.248
0.246,0.248
0.2462,0.248
0.2464,0.2472
0.2466,0.248
0.2468,0.248
0.247,0.2472
0.2472,0.248
0.2474,0.2472
0.2476,0.2472
0.2478,0.248
0.248,0.248
0.2482,0.248
0.2484,0.2472
0.2486,0.248
0.2488,0.2472
0.249,0.2472
0.2492,0.248
0.2494,0.2472
0.2496,0.2472
0.2498,0.2472
0.25,0.248
0.2502,0.2472
0.2504,0.248
0.2506,0.248
0.2508,0.2472
0.251,0.2464
0.2512,0.248
0.2514,0.2472
0.2516,0.2472
0.2518,0.2464
0.252,0.2472
0.2522,0.2472
0.2524,0.2472
0.2526,0.2464
0.2528,0.2472
0.253,0.2464
0.2532,0.2464
0.2534,0.2464
0.2536,0.2464
0.2538,0.2472
0.254,0.2472
0.2542,0.2472
0.2544,0.2464
0.2546,0.2472
0.2548,0.2472
0.255,0.2472
0.2552,0.2472
0.2554,0.2472
0.2556,0.2464
0.2558,0.2464
0.256,0.2472
0.2562,0.2456
0.2564,0.2464
0.2566,0.2472
0.2568,0.2464
0.257,0.2464
0.2572,0.2464
0.2574,0.2464
0.2576,0.2464
0.2578,0.2464
0.258,0.2456
0.2582,0.2456
0.2584,0.2456
0.2586,0.2456
0.2588,0.2456
0.259,0.2456
0.2592,0.2456
0.2594,0.2464
0.2596,0.2456
0.2598,0.2456
0.26,0.2464
0.2602,0.2448
0.2604,0.2456
0.2606,0.2456
0.2608,0.2456
0.261,0.2456
0.2612,0.2464
0.2614,0.2448
0.2616,0.2456
0.2618,0.2456
0.262,0.2456
0.2622,0.2464
0.2624,0.2448
0.2626,0.2456
0.2628,0.2456
0.263,0.2456
0.2632,0.2456
0.2634,0.2456
0.2636,0.2456
0.2638,0.2456
0.264,0.2456
0.2642,0.2464
0.2644,0.2448
0.2646,0.2456
0.2648,0.2456
0.265,0.2456
0.2652,0.2448
0.2654,0.244
0.2656,0.2456
0.2658,0.2456
0.266,0.2456
0.2662,0.2456
0.2664,0.2456
0.2666,0.2448
0.2668,0.2456
0.267,0.244
0.2672,0.244
0.2674,0.2456
0.2676,0.2456
0.2678,0.2448
0.268,0.244
0.2682,0.244
0.2684,0.2456
0.2686,0.2448
0.2688,0.2448
0.269,0.2448
0.2692,0.2448
0.2694,0.2448
0.2696,0.244
0.2698,0.244
0.27,0.2448
0.2702,0.2448
0.2704,0.2448
0.2706,0.244
0.2708,0.2448
0.271,0.2448
0.2712,0.244
0.2714,0.244
0.2716,0.2448
0.2718,0.244
0.272,0.244
0.2722,0.2432
0.2724,0.2448
0.2726,0.244
0.2728,0.2448
0.273,0.244
0.2732,0.244
0.2734,0.2432
0.2736,0.2424
0.2738,0.244
0.274,0.2424
0.2742,0.2424
0.2744,0.2424
0.2746,0.2424
0.2748,0.2416
0.275,0.2424
0.2752,0.2424
0.2754,0.2416
0.2756,0.2416
0.2758,0.2416
0.276,0.2416
0.2762,0.2416
0.2764,0.2408
0.2766,0.2408
0.2768,0.2392
0.277,0.2392
0.2772,0.24
0.2774,0.2392
0.2776,0.2384
0.2778,0.2384
0.278,0.2384
0.2782,0.2376
0.2784,0.2368
0.2786,0.236
0.2788,0.236
0.279,0.236
0.2792,0.2352
0.2794,0.2352
0.2796,0.2344
0.2798,0.2336
0.28,0.2336
0.2802,0.2328
0.2804,0.232
0.2806,0.232
0.2808,0.2312
0.281,0.2296
0.2812,0.2296
0.2814,0.2288
0.2816,0.2288
0.2818,0.228
0.282,0.2272
0.2822,0.2264
0.2824,0.2256
0.2826,0.2256
0.2828,0.224
0.283,0.2232
0.2832,0.2216
0.2834,0.2216
0.2836,0.22
0.2838,0.22
0.284,0.2184
0.2842,0.2184
0.2844,0.2176
0.2846,0.2168
0.2848,0.2152
0.285,0.2152
0.2852,0.2136
0.2854,0.2128
0.2856,0.2128
0.2858,0.212
0.286,0.2112
0.2862,0.2104
0.2864,0.208
0.2866,0.208
0.2868,0.2072
0.287,0.208
0.2872,0.2072
0.2874,0.2064
0.2876,0.2064
0.2878,0.2048
0.288,0.2048
0.2882,0.2032
0.2884,0.2032
0.2886,0.204
0.2888,0.2032
0.289,0.2024
0.2892,0.2016
0.2894,0.2016
0.2896,0.2016
0.2898,0.2008
0.29,0.2016
0.2902,0.2
0.2904,0.2008
0.2906,0.2008
0.2908,0.2008
0.291,0.2016
0.2912,0.2008
