t,V
0.305,0.144
0.3051,0.14
0.3052,0.144
0.3053,0.144
0.3054,0.14
0.3055,0.14
0.3056,0.14
0.3057,0.14
0.3058,0.144
0.3059,0.144
0.306,0.14
0.3061,0.14
0.3062,0.144
0.3063,0.144
0.3064,0.14
0.3065,0.14
0.3066,0.144
0.3067,0.14
0.3068,0.14
0.3069,0.136
0.307,0.144
0.3071,0.14
0.3072,0.136
0.3073,0.136
0.3074,0.14
0.3075,0.144
0.3076,0.14
0.3077,0.14
0.3078,0.14
0.3079,0.14
0.308,0.14
0.3081,0.14
0.3082,0.136
0.3083,0.14
0.3084,0.14
0.3085,0.14
0.3086,0.136
0.3087,0.14
0.3088,0.14
0.3089,0.14
0.309,0.14
0.3091,0.14
0.3092,0.14
0.3093,0.14
0.3094,0.136
0.3095,0.136
0.3096,0.14
0.3097,0.14
0.3098,0.14
0.3099,0.14
0.31,0.14
0.3101,0.144
0.3102,0.14
0.3103,0.136
0.3104,0.14
0.3105,0.136
0.3106,0.136
0.3107,0.14
0.3108,0.136
0.3109,0.136
0.311,0.136
0.3111,0.136
0.3112,0.136
0.3113,0.136
0.3114,0.14
0.3115,0.136
0.3116,0.136
0.3117,0.14
0.3118,0.136
0.3119,0.14
0.312,0.136
0.3121,0.136
0.3122,0.136
0.3123,0.136
0.3124,0.136
0.3125,0.136
0.3126,0.136
0.3127,0.136
0.3128,0.136
0.3129,0.132
0.313,0.136
0.3131,0.136
0.3132,0.136
0.3133,0.136
0.3134,0.136
0.3135,0.136
0.3136,0.136
0.3137,0.136
0.3138,0.136
0.3139,0.136
0.314,0.132
0.3141,0.136
0.3142,0.132
0.3143,0.136
0.3144,0.132
0.3145,0.136
0.3146,0.132
0.3147,0.132
0.3148,0.136
0.3149,0.136
0.315,0.136
0.3151,0.132
0.3152,0.132
0.3153,0.136
0.3154,0.132
0.3155,0.136
0.3156,0.136
0.3157,0.132
0.3158,0.136
0.3159,0.132
0.316,0.132
0.3161,0.132
0.3162,0.132
0.3163,0.136
0.3164,0.136
0.3165,0.132
0.3166,0.132
0.3167,0.132
0.3168,0.132
0.3169,0.132
0.317,0.132
0.3171,0.132
0.3172,0.136
0.3173,0.132
0.3174,0.132
0.3175,0.132
0.3176,0.132
0.3177,0.132
0.3178,0.132
0.3179,0.132
0.318,0.132
0.3181,0.132
0.3182,0.132
0.3183,0.132
0.3184,0.132
0.3185,0.132
0.3186,0.132
0.3187,0.132
0.3188,0.132
0.3189,0.132
0.319,0.132
