t,V
0.257,0.18
0.2571,0.18
0.2572,0.18
0.2573,0.176
0.2574,0.18
0.2575,0.18
0.2576,0.18
0.2577,0.18
0.2578,0.18
0.2579,0.18
0.258,0.18
0.2581,0.18
0.2582,0.18
0.2583,0.18
0.2584,0.18
0.2585,0.176
0.2586,0.176
0.2587,0.176
0.2588,0.18
0.2589,0.18
0.259,0.18
0.2591,0.18
0.2592,0.18
0.2593,0.18
0.2594,0.18
0.2595,0.176
0.2596,0.176
0.2597,0.18
0.2598,0.18
0.2599,0.18
0.26,0.18
0.2601,0.176
0.2602,0.176
0.2603,0.18
0.2604,0.18
0.2605,0.176
0.2606,0.176
0.2607,0.18
0.2608,0.18
0.2609,0.18
0.261,0.176
0.2611,0.176
0.2612,0.176
0.2613,0.18
0.2614,0.18
0.2615,0.176
0.2616,0.176
0.2617,0.18
0.2618,0.18
0.2619,0.176
0.262,0.18
0.2621,0.176
0.2622,0.176
0.2623,0.176
0.2624,0.176
0.2625,0.18
0.2626,0.176
0.2627,0.176
0.2628,0.176
0.2629,0.176
0.263,0.176
0.2631,0.176
0.2632,0.176
0.2633,0.176
0.2634,0.172
0.2635,0.176
0.2636,0.172
0.2637,0.18
0.2638,0.176
0.2639,0.176
0.264,0.172
0.2641,0.172
0.2642,0.176
0.2643,0.176
0.2644,0.176
0.2645,0.176
0.2646,0.176
0.2647,0.176
0.2648,0.172
0.2649,0.172
0.265,0.176
0.2651,0.172
0.2652,0.172
0.2653,0.172
0.2654,0.176
0.2655,0.172
0.2656,0.172
0.2657,0.176
0.2658,0.176
0.2659,0.172
0.266,0.172
0.2661,0.172
0.2662,0.172
0.2663,0.176
0.2664,0.176
0.2665,0.172
0.2666,0.176
0.2667,0.172
0.2668,0.172
0.2669,0.172
0.267,0.172
0.2671,0.172
0.2672,0.172
0.2673,0.172
0.2674,0.172
0.2675,0.172
0.2676,0.172
0.2677,0.172
0.2678,0.172
0.2679,0.176
0.268,0.172
0.2681,0.172
0.2682,0.172
0.2683,0.176
0.2684,0.172
0.2685,0.168
0.2686,0.176
0.2687,0.172
0.2688,0.172
0.2689,0.172
0.269,0.172
0.2691,0.172
0.2692,0.172
0.2693,0.168
0.2694,0.172
0.2695,0.172
0.2696,0.172
0.2697,0.168
0.2698,0.168
0.2699,0.172
0.27,0.168
0.2701,0.168
0.2702,0.168
0.2703,0.168
0.2704,0.168
0.2705,0.168
0.2706,0.168
0.2707,0.168
0.2708,0.172
0.2709,0.172
0.271,0.168
0.2711,0.168
0.2712,0.168
0.2713,0.168
0.2714,0.168
0.2715,0.168
0.2716,0.168
0.2717,0.168
0.2718,0.168
0.2719,0.168
0.272,0.168
0.2721,0.168
0.2722,0.168
0.2723,0.172
0.2724,0.168
0.2725,0.168
0.2726,0.168
0.2727,0.168
0.2728,0.168
0.2729,0.168
0.273,0.168
0.2731,0.168
0.2732,0.168
0.2733,0.168
0.2734,0.168
0.2735,0.168
0.2736,0.168
0.2737,0.168
0.2738,0.168
0.2739,0.168
0.274,0.168
0.2741,0.168
0.2742,0.168
0.2743,0.168
0.2744,0.168
0.2745,0.168
0.2746,0.168
0.2747,0.168
0.2748,0.168
0.2749,0.168
0.275,0.168
0.2751,0.168
0.2752,0.168
0.2753,0.168
0.2754,0.168
0.2755,0.168
0.2756,0.164
0.2757,0.164
0.2758,0.168
0.2759,0.164
0.276,0.168
0.2761,0.168
0.2762,0.168
0.2763,0.168
0.2764,0.168
0.2765,0.164
0.2766,0.168
0.2767,0.168
0.2768,0.168
0.2769,0.168
0.277,0.164
0.2771,0.164
0.2772,0.168
0.2773,0.168
0.2774,0.164
0.2775,0.168
0.2776,0.168
0.2777,0.168
0.2778,0.168
0.2779,0.164
0.278,0.164
0.2781,0.164
0.2782,0.164
0.2783,0.168
0.2784,0.16
0.2785,0.164
0.2786,0.164
0.2787,0.164
0.2788,0.164
0.2789,0.164
0.279,0.164
0.2791,0.164
0.2792,0.164
0.2793,0.164
0.2794,0.164
0.2795,0.164
0.2796,0.164
0.2797,0.168
0.2798,0.164
0.2799,0.164
0.28,0.164
0.2801,0.164
0.2802,0.164
0.2803,0.164
0.2804,0.164
0.2805,0.164
0.2806,0.16
0.2807,0.164
0.2808,0.164
0.2809,0.16
0.281,0.164
0.2811,0.16
0.2812,0.164
0.2813,0.164
0.2814,0.16
0.2815,0.164
0.2816,0.16
0.2817,0.16
0.2818,0.16
0.2819,0.16
0.282,0.164
0.2821,0.16
0.2822,0.16
0.2823,0.16
0.2824,0.16
0.2825,0.16
0.2826,0.164
0.2827,0.16
0.2828,0.16
0.2829,0.16
0.283,0.16
0.2831,0.16
0.2832,0.16
0.2833,0.16
0.2834,0.16
0.2835,0.16
0.2836,0.164
0.2837,0.16
0.2838,0.16
0.2839,0.16
0.284,0.164
0.2841,0.16
0.2842,0.16
0.2843,0.16
0.2844,0.16
0.2845,0.16
0.2846,0.16
0.2847,0.156
0.2848,0.16
0.2849,0.156
0.285,0.16
0.2851,0.16
0.2852,0.16
0.2853,0.156
0.2854,0.16
0.2855,0.156
0.2856,0.16
0.2857,0.16
0.2858,0.156
0.2859,0.16
0.286,0.16
0.2861,0.16
0.2862,0.16
0.2863,0.156
0.2864,0.156
0.2865,0.16
0.2866,0.156
0.2867,0.16
0.2868,0.156
0.2869,0.16
0.287,0.156
0.2871,0.156
0.2872,0.156
0.2873,0.156
0.2874,0.156
0.2875,0.16
0.2876,0.16
0.2877,0.156
0.2878,0.156
0.2879,0.16
0.288,0.156
0.2881,0.156
0.2882,0.156
0.2883,0.156
0.2884,0.156
0.2885,0.16
0.2886,0.156
0.2887,0.156
0.2888,0.156
0.2889,0.156
0.289,0.156
0.2891,0.156
0.2892,0.156
0.2893,0.16
0.2894,0.156
0.2895,0.156
0.2896,0.156
0.2897,0.156
0.2898,0.156
0.2899,0.156
0.29,0.156
0.2901,0.156
0.2902,0.156
0.2903,0.156
0.2904,0.156
0.2905,0.156
0.2906,0.156
0.2907,0.156
0.2908,0.16
0.2909,0.156
0.291,0.156
0.2911,0.156
0.2912,0.156
0.2913,0.156
0.2914,0.152
0.2915,0.156
0.2916,0.156
0.2917,0.156
0.2918,0.152
0.2919,0.152
0.292,0.156
0.2921,0.156
0.2922,0.156
0.2923,0.156
0.2924,0.152
0.2925,0.152
0.2926,0.156
0.2927,0.152
0.2928,0.156
0.2929,0.156
0.293,0.152
0.2931,0.152
0.2932,0.156
0.2933,0.156
0.2934,0.152
0.2935,0.156
0.2936,0.152
0.2937,0.152
0.2938,0.152
0.2939,0.156
0.294,0.156
0.2941,0.152
0.2942,0.152
0.2943,0.152
0.2944,0.152
0.2945,0.152
0.2946,0.152
0.2947,0.152
0.2948,0.152
0.2949,0.148
0.295,0.152
0.2951,0.152
0.2952,0.152
0.2953,0.152
0.2954,0.152
0.2955,0.152
0.2956,0.152
0.2957,0.152
0.2958,0.152
0.2959,0.152
0.296,0.152
0.2961,0.152
0.2962,0.152
0.2963,0.148
0.2964,0.152
0.2965,0.152
0.2966,0.152
0.2967,0.152
0.2968,0.152
0.2969,0.148
0.297,0.152
0.2971,0.152
0.2972,0.152
0.2973,0.148
0.2974,0.152
0.2975,0.148
0.2976,0.148
0.2977,0.148
0.2978,0.148
0.2979,0.148
0.298,0.148
0.2981,0.152
0.2982,0.148
0.2983,0.148
0.2984,0.148
0.2985,0.148
0.2986,0.152
0.2987,0.148
0.2988,0.148
0.2989,0.148
0.299,0.148
0.2991,0.152
0.2992,0.148
0.2993,0.152
0.2994,0.148
0.2995,0.152
0.2996,0.148
0.2997,0.148
0.2998,0.148
0.2999,0.152
0.3,0.148
0.3001,0.148
0.3002,0.152
0.3003,0.148
0.3004,0.148
0.3005,0.148
0.3006,0.148
0.3007,0.148
0.3008,0.148
0.3009,0.148
0.301,0.148
0.3011,0.148
0.3012,0.148
0.3013,0.148
0.3014,0.148
0.3015,0.148
0.3016,0.148
0.3017,0.152
0.3018,0.148
0.3019,0.144
0.302,0.148
0.3021,0.148
0.3022,0.144
0.3023,0.148
0.3024,0.148
0.3025,0.148
0.3026,0.148
0.3027,0.144
0.3028,0.148
0.3029,0.144
0.303,0.144
0.3031,0.144
0.3032,0.144
0.3033,0.144
0.3034,0.148
0.3035,0.144
0.3036,0.144
0.3037,0.148
0.3038,0.144
0.3039,0.144
0.304,0.144
0.3041,0.144
0.3042,0.144
0.3043,0.144
0.3044,0.144
0.3045,0.144
0.3046,0.148
0.3047,0.14
0.3048,0.144
