t,V
11.578,0.113
11.5782,0.113
11.5784,0.113
11.5786,0.113
11.5788,0.113
11.579,0.113
11.5792,0.113
11.5794,0.113
11.5796,0.113
11.5798,0.113
11.58,0.113
11.5802,0.113
11.5804,0.113
11.5806,0.113
11.5808,0.113
11.581,0.113
11.5812,0.113
11.5814,0.113
11.5816,0.113
11.5818,0.113
11.582,0.113
11.5822,0.113
11.5824,0.113
11.5826,0.113
11.5828,0.113
11.583,0.113
11.5832,0.113
11.5834,0.113
11.5836,0.113
11.5838,0.113
11.584,0.113
11.5842,0.113
11.5844,0.113
11.5846,0.113
11.5848,0.113
11.585,0.113
11.5852,0.113
11.5854,0.113
11.5856,0.113
11.5858,0.113
11.586,0.113
11.5862,0.113
11.5864,0.113
11.5866,0.113
11.5868,0.113
11.587,0.113
11.5872,0.113
11.5874,0.113
11.5876,0.113
11.5878,0.113
11.588,0.113
11.5882,0.113
11.5884,0.113
11.5886,0.113
11.5888,0.113
11.589,0.113
11.5892,0.113
11.5894,0.113
11.5896,0.113
11.5898,0.113
11.59,0.113
11.5902,0.113
11.5904,0.113
11.5906,0.113
11.5908,0.113
11.591,0.113
11.5912,0.113
11.5914,0.113
11.5916,0.113
11.5918,0.113
11.592,0.113
11.5922,0.113
11.5924,0.113
11.5926,0.113
11.5928,0.113
11.593,0.113
11.5932,0.113
11.5934,0.113
11.5936,0.113
11.5938,0.113
11.594,0.113
11.5942,0.113
11.5944,0.113
11.5946,0.113
11.5948,0.113
11.595,0.1136
11.5952,0.1132
11.5954,0.113
11.5956,0.1134
11.5958,0.1134
11.596,0.1132
11.5962,0.113
11.5964,0.1138
11.5966,0.1134
11.5968,0.1144
11.597,0.113
11.5972,0.1136
11.5974,0.113
11.5976,0.1142
11.5978,0.1142
11.598,0.1134
11.5982,0.1142
11.5984,0.1146
11.5986,0.1138
11.5988,0.1136
11.599,0.1134
11.5992,0.114
11.5994,0.1144
11.5996,0.1142
11.5998,0.115
11.6,0.1146
11.6002,0.1156
11.6004,0.1154
11.6006,0.115
11.6008,0.1158
11.601,0.1158
11.6012,0.1154
11.6014,0.1152
11.6016,0.1162
11.6018,0.1156
11.602,0.1146
11.6022,0.1162
11.6024,0.116
11.6026,0.1162
11.6028,0.1162
11.603,0.1156
11.6032,0.117
11.6034,0.1162
11.6036,0.1166
11.6038,0.1166
11.604,0.1176
11.6042,0.1172
11.6044,0.1178
11.6046,0.1174
11.6048,0.1182
11.605,0.1176
11.6052,0.1184
11.6054,0.1186
11.6056,0.1188
11.6058,0.1192
11.606,0.12
11.6062,0.1192
11.6064,0.12
11.6066,0.1194
11.6068,0.1196
11.607,0.12
11.6072,0.1196
11.6074,0.1202
11.6076,0.1198
11.6078,0.1202
11.608,0.12
11.6082,0.1198
11.6084,0.1198
11.6086,0.1202
11.6088,0.1204
11.609,0.1208
11.6092,0.1216
11.6094,0.1202
11.6096,0.1216
11.6098,0.122
11.61,0.1214
11.6102,0.1212
11.6104,0.1214
11.6106,0.1218
11.6108,0.1218
11.611,0.1222
11.6112,0.122
11.6114,0.1224
11.6116,0.1222
11.6118,0.1228
11.612,0.1226
11.6122,0.1234
11.6124,0.1224
11.6126,0.1226
11.6128,0.123
11.613,0.123
11.6132,0.1234
11.6134,0.1232
11.6136,0.1224
11.6138,0.1226
11.614,0.1222
11.6142,0.1234
11.6144,0.123
11.6146,0.1228
11.6148,0.1228
11.615,0.123
11.6152,0.123
11.6154,0.1232
11.6156,0.1242
11.6158,0.1238
11.616,0.1234
11.6162,0.1234
11.6164,0.124
11.6166,0.1248
11.6168,0.1238
11.617,0.1252
11.6172,0.1252
11.6174,0.1244
11.6176,0.1254
11.6178,0.1248
11.618,0.1256
11.6182,0.1252
11.6184,0.1242
11.6186,0.1258
11.6188,0.1254
11.619,0.1254
11.6192,0.1264
11.6194,0.1254
11.6196,0.126
11.6198,0.126
11.62,0.1264
11.6202,0.126
11.6204,0.1262
11.6206,0.1268
11.6208,0.1258
11.621,0.1266
11.6212,0.1262
11.6214,0.1266
11.6216,0.1266
11.6218,0.1272
11.622,0.127
11.6222,0.1266
11.6224,0.1282
11.6226,0.1278
11.6228,0.128
11.623,0.1276
11.6232,0.1282
11.6234,0.128
11.6236,0.1282
11.6238,0.1286
11.624,0.1286
11.6242,0.129
11.6244,0.1286
11.6246,0.1284
11.6248,0.1296
11.625,0.1298
11.6252,0.1294
11.6254,0.1294
11.6256,0.1304
11.6258,0.1292
11.626,0.13
11.6262,0.1306
11.6264,0.1296
11.6266,0.1306
11.6268,0.1304
11.627,0.1304
11.6272,0.1308
11.6274,0.1302
11.6276,0.1306
11.6278,0.1304
11.628,0.13
11.6282,0.1308
11.6284,0.1314
11.6286,0.131
11.6288,0.1314
11.629,0.1324
11.6292,0.1308
11.6294,0.132
11.6296,0.1322
11.6298,0.1324
11.63,0.1322
11.6302,0.1318
11.6304,0.1312
11.6306,0.131
11.6308,0.1312
11.631,0.1308
11.6312,0.1314
11.6314,0.1318
11.6316,0.1316
11.6318,0.1322
11.632,0.1316
11.6322,0.1322
11.6324,0.1326
11.6326,0.132
11.6328,0.1324
11.633,0.1332
11.6332,0.132
11.6334,0.1326
11.6336,0.1328
11.6338,0.1326
11.634,0.1328
11.6342,0.133
11.6344,0.133
11.6346,0.1324
11.6348,0.1334
11.635,0.1334
11.6352,0.1342
11.6354,0.133
11.6356,0.1324
11.6358,0.134
11.636,0.134
11.6362,0.1332
11.6364,0.1334
11.6366,0.1348
11.6368,0.134
11.637,0.1344
11.6372,0.1346
11.6374,0.134
11.6376,0.1342
11.6378,0.135
11.638,0.1342
11.6382,0.1346
11.6384,0.134
11.6386,0.1342
11.6388,0.135
11.639,0.1352
11.6392,0.135
11.6394,0.1352
11.6396,0.1348
11.6398,0.1362
11.64,0.136
11.6402,0.136
11.6404,0.1364
11.6406,0.1354
11.6408,0.1364
11.641,0.1368
11.6412,0.1366
11.6414,0.1368
11.6416,0.1374
11.6418,0.1368
11.642,0.1366
11.6422,0.136
11.6424,0.1378
11.6426,0.137
11.6428,0.1374
11.643,0.137
11.6432,0.1374
11.6434,0.1378
11.6436,0.1372
11.6438,0.1372
11.644,0.137
11.6442,0.1376
11.6444,0.1376
11.6446,0.1378
11.6448,0.1374
11.645,0.1378
11.6452,0.1386
11.6454,0.138
11.6456,0.1386
11.6458,0.1376
11.646,0.1374
11.6462,0.1378
11.6464,0.139
11.6466,0.1386
11.6468,0.1386
11.647,0.1386
11.6472,0.1386
11.6474,0.1384
11.6476,0.1386
11.6478,0.1374
11.648,0.1388
11.6482,0.1376
11.6484,0.1388
11.6486,0.138
11.6488,0.139
11.649,0.1382
11.6492,0.138
11.6494,0.1386
11.6496,0.138
11.6498,0.1386
11.65,0.1382
11.6502,0.14
11.6504,0.1392
11.6506,0.1392
11.6508,0.139
11.651,0.1392
11.6512,0.138
11.6514,0.1388
11.6516,0.139
11.6518,0.1394
11.652,0.139
11.6522,0.1388
11.6524,0.14
11.6526,0.1396
11.6528,0.1402
11.653,0.1404
11.6532,0.1412
11.6534,0.1398
11.6536,0.1402
11.6538,0.1404
11.654,0.1408
11.6542,0.1398
11.6544,0.1398
11.6546,0.1396
11.6548,0.1402
11.655,0.1408
11.6552,0.1406
11.6554,0.1402
11.6556,0.1412
11.6558,0.1408
11.656,0.14
11.6562,0.1406
11.6564,0.1406
11.6566,0.1404
11.6568,0.1412
11.657,0.1402
11.6572,0.1412
11.6574,0.1414
11.6576,0.1412
11.6578,0.1414
11.658,0.1412
11.6582,0.1412
11.6584,0.1418
11.6586,0.1418
11.6588,0.1418
11.659,0.1422
11.6592,0.1418
11.6594,0.1416
11.6596,0.1412
11.6598,0.1418
11.66,0.1414
